T Gate Index 0,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,8.45,91.55,17.53,74.02
2,7.13,92.87,18.02,74.85
3,8.45,91.55,17.53,74.02
4,7.13,92.87,18.02,74.85
5,8.45,91.55,17.53,74.02
6,7.13,92.87,18.02,74.85
7,8.45,91.55,17.53,74.02
8,7.13,92.87,18.02,74.85
9,13.43,86.57,17.87,68.70
10,13.43,86.57,17.87,68.70
11,13.43,86.57,17.87,68.70
12,13.43,86.57,17.87,68.70
13,13.43,86.57,17.87,68.70
14,13.43,86.57,17.87,68.70
15,13.43,86.57,17.87,68.70
16,13.43,86.57,17.87,68.70
17,13.43,86.57,17.87,68.70
18,13.43,86.57,17.87,68.70
19,13.43,86.57,17.87,68.70
20,13.43,86.57,17.87,68.70
21,8.64,91.36,17.43,73.93
22,8.45,91.55,17.04,74.51
23,8.64,91.36,17.43,73.93
24,8.45,91.55,17.04,74.51
25,8.64,91.36,17.43,73.93
26,8.45,91.55,17.04,74.51
27,8.64,91.36,17.43,73.93
28,8.45,91.55,17.04,74.51
