T Gate Index 0,T Gate Index 1,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,11.72,88.28,41.41,46.88
1,3,13.48,86.52,16.16,70.36
1,4,11.72,88.28,16.50,71.78
1,5,13.28,86.72,39.84,46.88
1,6,11.72,88.28,41.41,46.88
1,7,11.96,88.04,15.77,72.27
1,8,11.72,88.28,16.50,71.78
1,9,19.29,80.71,38.18,42.53
1,10,19.24,80.76,38.28,42.48
1,11,19.24,80.76,38.28,42.48
1,12,19.24,80.76,38.28,42.48
1,13,19.24,80.76,15.53,65.23
1,14,19.24,80.76,15.53,65.23
1,15,19.24,80.76,15.53,65.23
1,16,19.24,80.76,15.53,65.23
1,17,19.24,80.76,15.53,65.23
1,18,19.24,80.76,15.53,65.23
1,19,19.24,80.76,15.53,65.23
1,20,19.24,80.76,15.53,65.23
1,21,10.79,89.21,42.33,46.88
1,22,11.72,88.28,41.41,46.88
1,23,13.38,86.62,16.06,70.56
1,24,11.72,88.28,16.50,71.78
1,25,13.82,86.18,39.31,46.88
1,26,11.72,88.28,41.41,46.88
1,27,10.45,89.55,17.09,72.46
1,28,11.72,88.28,16.50,71.78
2,3,11.72,88.28,16.50,71.78
2,4,13.18,86.82,15.48,71.34
2,5,11.72,88.28,41.41,46.88
2,6,13.77,86.23,39.36,46.88
2,7,11.72,88.28,16.50,71.78
2,8,12.06,87.94,15.48,72.46
2,9,19.58,80.42,37.50,42.92
2,10,19.58,80.42,37.50,42.92
2,11,19.58,80.42,37.50,42.92
2,12,19.58,80.42,37.50,42.92
2,13,19.58,80.42,14.84,65.58
2,14,19.58,80.42,14.84,65.58
2,15,19.58,80.42,14.84,65.58
2,16,19.53,80.47,14.79,65.67
2,17,19.58,80.42,14.84,65.58
2,18,19.58,80.42,14.84,65.58
2,19,19.58,80.42,14.84,65.58
2,20,19.58,80.42,14.84,65.58
2,21,11.72,88.28,41.41,46.88
2,22,9.28,90.72,43.85,46.88
2,23,11.72,88.28,16.50,71.78
2,24,12.89,87.11,15.09,72.02
2,25,11.72,88.28,41.41,46.88
2,26,12.21,87.79,40.92,46.88
2,27,11.72,88.28,16.50,71.78
2,28,9.67,90.33,15.97,74.37
3,4,11.72,88.28,41.41,46.88
3,5,11.96,88.04,15.77,72.27
3,6,11.72,88.28,16.50,71.78
3,7,13.28,86.72,39.84,46.88
3,8,11.72,88.28,41.41,46.88
3,9,19.24,80.76,15.53,65.23
3,10,19.24,80.76,15.53,65.23
3,11,19.24,80.76,15.53,65.23
3,12,19.24,80.76,15.53,65.23
3,13,19.24,80.76,38.28,42.48
3,14,19.24,80.76,38.28,42.48
3,15,19.24,80.76,38.28,42.48
3,16,19.24,80.76,38.23,42.53
3,17,19.29,80.71,38.18,42.53
3,18,19.24,80.76,38.28,42.48
3,19,19.24,80.76,38.28,42.48
3,20,19.24,80.76,38.28,42.48
3,21,13.38,86.62,16.06,70.56
3,22,11.72,88.28,16.50,71.78
3,23,10.79,89.21,42.33,46.88
3,24,11.72,88.28,41.41,46.88
3,25,10.45,89.55,17.09,72.46
3,26,11.72,88.28,16.50,71.78
3,27,13.82,86.18,39.31,46.88
