T Gate Index 0,T Gate Index 1,T Gate Index 2,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,3,18.41,81.59,13.38,68.21
1,2,4,18.99,81.01,13.57,67.43
1,2,5,19.29,80.71,33.84,46.88
1,2,6,18.51,81.49,34.62,46.88
1,2,7,18.70,81.30,13.09,68.21
1,2,8,18.75,81.25,13.18,68.07
1,2,9,26.66,73.34,31.30,42.04
1,2,10,26.66,73.34,31.30,42.04
1,2,11,26.56,73.44,31.40,42.04
1,2,12,26.66,73.34,31.30,42.04
1,2,13,26.66,73.34,12.06,61.28
1,2,14,26.66,73.34,12.06,61.28
1,2,15,26.66,73.34,12.06,61.28
1,2,16,26.66,73.34,12.06,61.28
1,2,17,26.66,73.34,12.06,61.28
1,2,18,26.66,73.34,12.06,61.28
1,2,19,26.66,73.34,12.06,61.28
1,2,20,26.66,73.34,12.06,61.28
1,2,21,17.77,82.23,35.45,46.78
1,2,22,18.41,81.59,34.86,46.73
1,2,23,21.00,79.00,12.35,66.65
1,2,24,21.29,78.71,12.35,66.36
1,2,25,20.36,79.64,32.86,46.78
1,2,26,21.29,78.71,31.98,46.73
1,2,27,18.02,81.98,12.55,69.43
1,2,28,18.51,81.49,13.09,68.41
1,3,4,18.41,81.59,13.38,68.21
1,3,5,17.97,82.03,13.28,68.75
1,3,6,18.41,81.59,13.38,68.21
1,3,7,17.97,82.03,13.28,68.75
1,3,8,18.41,81.59,13.38,68.21
1,3,9,24.61,75.39,13.62,61.77
1,3,10,24.61,75.39,13.62,61.77
1,3,11,24.61,75.39,13.62,61.77
1,3,12,24.61,75.39,13.62,61.77
1,3,13,24.61,75.39,13.62,61.77
1,3,14,24.61,75.39,13.62,61.77
1,3,15,24.61,75.39,13.62,61.77
1,3,16,24.61,75.39,13.62,61.77
1,3,17,24.61,75.39,13.62,61.77
1,3,18,24.61,75.39,13.62,61.77
1,3,19,24.56,75.44,13.62,61.82
1,3,20,24.61,75.39,13.62,61.77
1,3,21,16.75,83.25,14.79,68.46
1,3,22,19.14,80.86,13.28,67.58
1,3,23,16.75,83.25,14.79,68.46
1,3,24,19.19,80.81,13.28,67.53
1,3,25,16.65,83.35,13.62,69.73
1,3,26,19.14,80.86,13.28,67.58
1,3,27,16.65,83.35,13.62,69.73
1,3,28,19.14,80.86,13.28,67.58
1,4,5,19.24,80.76,12.74,68.02
1,4,6,18.75,81.25,13.18,68.07
1,4,7,18.70,81.30,13.09,68.21
1,4,8,18.51,81.49,13.92,67.58
1,4,9,26.66,73.34,12.06,61.28
1,4,10,26.66,73.34,12.06,61.28
1,4,11,26.66,73.34,12.06,61.28
1,4,12,26.66,73.34,12.06,61.28
1,4,13,26.66,73.34,12.06,61.28
1,4,14,26.66,73.34,12.06,61.28
1,4,15,26.66,73.34,12.06,61.28
1,4,16,26.66,73.34,12.06,61.28
1,4,17,26.66,73.34,12.06,61.28
1,4,18,26.66,73.34,12.06,61.28
1,4,19,26.66,73.34,12.06,61.28
1,4,20,26.66,73.34,12.06,61.28
1,4,21,17.77,82.23,14.40,67.82
1,4,22,21.29,78.71,12.35,66.36
1,4,23,21.00,79.00,12.35,66.65
1,4,24,18.41,81.59,14.16,67.43
1,4,25,20.36,79.64,12.45,67.19
1,4,26,18.51,81.49,13.09,68.41
1,4,27,18.02,81.98,12.55,69.43
1,4,28,21.29,78.71,12.45,66.26
1,5,6,19.24,80.76,33.89,46.88
1,5,7,17.97,82.03,13.28,68.75
1,5,8,19.24,80.76,12.74,68.02
1,5,9,23.93,76.07,34.67,41.41
1,5,10,23.93,76.07,34.67,41.41
1,5,11,23.93,76.07,34.67,41.41
1,5,12,23.93,76.07,34.67,41.41
1,5,13,23.93,76.07,12.94,63.13
1,5,14,23.93,76.07,12.94,63.13
1,5,15,23.93,76.07,12.94,63.13
1,5,16,23.93,76.07,12.94,63.13
1,5,17,23.93,76.07,12.94,63.13
1,5,18,23.93,76.07,12.94,63.13
1,5,19,23.93,76.07,12.94,63.13
1,5,20,23.93,76.07,12.94,63.13
1,5,21,15.92,84.08,37.84,46.24
1,5,22,19.48,80.52,33.64,46.88
1,5,23,15.58,84.42,14.45,69.97
1,5,24,19.48,80.52,12.84,67.68
1,5,25,15.92,84.08,37.84,46.24
1,5,26,19.48,80.52,33.64,46.88
1,5,27,15.58,84.42,14.45,69.97
1,5,28,19.48,80.52,12.84,67.68
1,6,7,18.70,81.30,13.09,68.21
1,6,8,18.95,81.05,13.57,67.48
1,6,9,26.66,73.34,31.30,42.04
1,6,10,26.66,73.34,31.30,42.04
1,6,11,26.66,73.34,31.30,42.04
1,6,12,26.66,73.34,31.30,42.04
1,6,13,26.66,73.34,12.06,61.28
1,6,14,26.66,73.34,12.06,61.28
1,6,15,26.66,73.34,12.06,61.28
1,6,16,26.61,73.39,12.06,61.33
1,6,17,26.66,73.34,12.06,61.28
1,6,18,26.66,73.34,12.06,61.28
1,6,19,26.66,73.34,12.06,61.28
1,6,20,26.66,73.34,12.06,61.28
1,6,21,17.77,82.23,35.45,46.78
1,6,22,21.29,78.71,31.98,46.73
1,6,23,21.00,79.00,12.35,66.65
1,6,24,18.51,81.49,13.09,68.41
1,6,25,20.36,79.64,32.86,46.78
1,6,26,18.41,81.59,34.86,46.73
1,6,27,18.02,81.98,12.55,69.43
1,6,28,21.29,78.71,12.35,66.36
1,7,8,18.70,81.30,13.09,68.21
1,7,9,23.14,76.86,13.04,63.82
1,7,10,23.14,76.86,13.04,63.82
1,7,11,23.14,76.86,13.04,63.82
1,7,12,23.14,76.86,13.04,63.82
1,7,13,23.14,76.86,13.04,63.82
1,7,14,23.14,76.86,13.04,63.82
1,7,15,23.14,76.86,13.04,63.82
1,7,16,23.14,76.86,13.04,63.82
1,7,17,23.14,76.86,13.04,63.82
1,7,18,23.14,76.86,13.04,63.82
1,7,19,23.14,76.86,13.04,63.82
1,7,20,23.14,76.86,13.04,63.82
1,7,21,13.18,86.82,15.38,71.44
1,7,22,19.04,80.96,12.99,67.97
1,7,23,16.94,83.06,13.62,69.43
1,7,24,19.04,80.96,12.99,67.97
1,7,25,16.94,83.06,13.62,69.43
1,7,26,19.04,80.96,12.99,67.97
1,7,27,13.18,86.82,15.38,71.44
1,7,28,19.04,80.96,12.99,67.97
1,8,9,26.66,73.34,12.06,61.28
1,8,10,26.66,73.34,12.06,61.28
1,8,11,26.66,73.34,12.06,61.28
1,8,12,26.66,73.34,12.06,61.28
1,8,13,26.66,73.34,12.06,61.28
1,8,14,26.66,73.34,12.06,61.28
1,8,15,26.66,73.34,12.06,61.28
1,8,16,26.66,73.34,12.06,61.28
1,8,17,26.66,73.34,12.06,61.28
1,8,18,26.71,73.29,12.16,61.13
1,8,19,26.66,73.34,12.06,61.28
1,8,20,26.66,73.34,12.06,61.28
1,8,21,17.77,82.23,14.40,67.82
1,8,22,18.51,81.49,13.09,68.41
1,8,23,21.00,79.00,12.35,66.65
1,8,24,21.29,78.71,12.45,66.26
1,8,25,20.36,79.64,12.45,67.19
1,8,26,21.29,78.71,12.35,66.36
1,8,27,18.02,81.98,12.55,69.43
1,8,28,18.41,81.59,14.16,67.43
1,9,10,28.96,71.04,32.32,38.72
1,9,11,29.15,70.85,34.47,36.38
1,9,12,28.37,71.63,32.91,38.72
1,9,13,29.59,70.41,13.04,57.37
1,9,14,28.52,71.48,13.53,57.96
1,9,15,29.39,70.61,11.13,59.47
1,9,16,30.52,69.48,13.48,56.01
1,9,17,30.37,69.63,12.21,57.42
1,9,18,28.76,71.24,12.94,58.30
1,9,19,28.61,71.39,14.01,57.37
1,9,20,28.96,71.04,13.38,57.67
1,9,21,22.80,77.20,36.28,40.92
1,9,22,27.15,72.85,31.10,41.75
1,9,23,26.66,73.34,12.50,60.84
1,9,24,27.15,72.85,11.87,60.99
1,9,25,25.44,74.56,32.76,41.80
1,9,26,27.15,72.85,31.10,41.75
1,9,27,23.83,76.17,12.89,63.28
1,9,28,27.15,72.85,11.87,60.99
1,10,11,29.35,70.65,32.52,38.13
1,10,12,29.05,70.95,34.38,36.57
1,10,13,29.83,70.17,11.91,58.25
1,10,14,28.66,71.34,13.72,57.62
1,10,15,28.52,71.48,13.28,58.20
1,10,16,29.15,70.85,13.96,56.88
1,10,17,28.08,71.92,13.57,58.35
1,10,18,29.54,70.46,12.30,58.15
1,10,19,30.08,69.92,12.79,57.13
1,10,20,28.71,71.29,13.87,57.42
1,10,21,22.90,77.10,35.60,41.50
1,10,22,27.15,72.85,31.10,41.75
1,10,23,26.46,73.54,12.35,61.18
1,10,24,27.15,72.85,11.87,60.99
1,10,25,26.03,73.97,32.47,41.50
1,10,26,27.15,72.85,31.10,41.75
1,10,27,22.56,77.44,12.55,64.89
1,10,28,27.15,72.85,11.87,60.99
1,11,12,30.13,69.87,32.23,37.65
1,11,13,28.91,71.09,13.53,57.57
1,11,14,29.10,70.90,13.43,57.47
1,11,15,29.30,70.70,12.89,57.81
1,11,16,28.86,71.14,11.23,59.91
1,11,17,28.47,71.53,14.01,57.52
1,11,18,29.74,70.26,13.04,57.23
1,11,19,28.27,71.73,12.70,59.03
1,11,20,29.25,70.75,13.18,57.57
1,11,21,23.68,76.32,35.84,40.48
1,11,22,27.15,72.85,31.10,41.75
1,11,23,26.07,73.93,12.60,61.33
1,11,24,27.15,72.85,11.87,60.99
1,11,25,26.03,73.97,32.62,41.36
1,11,26,27.15,72.85,31.10,41.75
1,11,27,22.95,77.05,13.18,63.87
1,11,28,27.15,72.85,11.87,60.99
1,12,13,28.81,71.19,13.82,57.37
1,12,14,29.30,70.70,12.40,58.30
1,12,15,28.47,71.53,14.01,57.52
1,12,16,29.30,70.70,13.53,57.18
1,12,17,28.66,71.34,13.04,58.30
1,12,18,28.12,71.88,13.82,58.06
1,12,19,29.39,70.61,13.33,57.28
1,12,20,29.44,70.56,12.26,58.30
1,12,21,24.12,75.88,35.11,40.77
1,12,22,27.15,72.85,31.10,41.75
1,12,23,25.34,74.66,12.40,62.26
1,12,24,27.15,72.85,11.87,60.99
1,12,25,25.39,74.61,32.57,42.04
1,12,26,27.15,72.85,31.10,41.75
1,12,27,23.49,76.51,12.50,64.01
1,12,28,27.15,72.85,11.87,60.99
1,13,14,28.03,71.97,13.87,58.11
1,13,15,29.25,70.75,13.53,57.23
1,13,16,28.52,71.48,14.21,57.28
1,13,17,29.00,71.00,13.28,57.71
1,13,18,29.49,70.51,11.77,58.74
1,13,19,28.76,71.24,13.48,57.76
1,13,20,28.56,71.44,14.01,57.42
1,13,21,23.34,76.66,14.75,61.91
1,13,22,27.15,72.85,11.87,60.99
1,13,23,25.83,74.17,12.45,61.72
1,13,24,27.15,72.85,11.87,60.99
1,13,25,25.59,74.41,12.50,61.91
1,13,26,27.15,72.85,11.87,60.99
1,13,27,23.19,76.81,12.65,64.16
1,13,28,27.15,72.85,11.87,60.99
1,14,15,28.47,71.53,13.96,57.57
1,14,16,29.59,70.41,13.96,56.45
1,14,17,29.98,70.02,12.70,57.32
1,14,18,29.00,71.00,13.87,57.13
1,14,19,29.25,70.75,13.28,57.47
1,14,20,28.37,71.63,12.21,59.42
1,14,21,23.39,76.61,14.45,62.16
1,14,22,27.15,72.85,11.87,60.99
1,14,23,25.49,74.51,12.55,61.96
1,14,24,27.15,72.85,11.87,60.99
