T Gate Index 0,T Gate Index 1,T Gate Index 2,T Gate Index 3,T Gate Index 4,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,3,4,5,23.63,76.37,11.04,65.33
1,2,3,4,6,23.14,76.86,11.62,65.23
1,2,3,4,7,22.27,77.73,11.91,65.82
1,2,3,4,8,23.68,76.32,11.47,64.84
1,2,3,4,9,27.98,72.02,11.43,60.60
1,2,3,4,10,28.96,71.04,10.89,60.16
1,2,3,4,11,28.47,71.53,12.01,59.52
1,2,3,4,12,29.49,70.51,10.50,60.01
1,2,3,4,13,29.49,70.51,11.28,59.23
1,2,3,4,14,28.22,71.78,11.47,60.30
1,2,3,4,15,29.64,70.36,10.99,59.38
1,2,3,4,16,28.32,71.68,11.62,60.06
1,2,3,4,17,29.10,70.90,11.67,59.23
1,2,3,4,18,30.22,69.78,10.74,59.03
1,2,3,4,19,28.71,71.29,11.13,60.16
1,2,3,4,20,28.91,71.09,11.18,59.91
1,2,3,4,21,23.54,76.46,12.30,64.16
1,2,3,4,22,25.78,74.22,10.94,63.28
1,2,3,4,23,24.32,75.68,11.91,63.77
1,2,3,4,24,24.56,75.44,11.91,63.53
1,2,3,4,25,23.24,76.76,11.62,65.14
1,2,3,4,26,24.12,75.88,11.62,64.26
1,2,3,4,27,23.14,76.86,12.06,64.79
1,2,3,4,28,22.75,77.25,12.06,65.19
1,2,3,5,6,25.63,74.37,27.49,46.88
1,2,3,5,7,18.16,81.84,13.53,68.31
1,2,3,5,8,24.51,75.49,11.18,64.31
1,2,3,5,9,29.49,70.51,27.29,43.21
1,2,3,5,10,31.25,68.75,26.51,42.24
1,2,3,5,11,29.44,70.56,27.10,43.46
1,2,3,5,12,28.81,71.19,27.59,43.60
1,2,3,5,13,30.47,69.53,10.69,58.84
1,2,3,5,14,30.71,69.29,9.33,59.96
1,2,3,5,15,30.42,69.58,10.74,58.84
1,2,3,5,16,30.08,69.92,10.11,59.81
1,2,3,5,17,30.47,69.53,10.25,59.28
1,2,3,5,18,31.35,68.65,10.35,58.30
1,2,3,5,19,30.42,69.58,9.86,59.72
1,2,3,5,20,29.54,70.46,10.55,59.91
1,2,3,5,21,25.44,74.56,28.42,46.14
1,2,3,5,22,22.95,77.05,30.42,46.63
1,2,3,5,23,22.02,77.98,11.91,66.06
1,2,3,5,24,28.08,71.92,9.86,62.06
1,2,3,5,25,24.32,75.68,30.27,45.41
1,2,3,5,26,27.05,72.95,26.56,46.39
1,2,3,5,27,26.61,73.39,10.55,62.84
1,2,3,5,28,24.37,75.63,10.35,65.28
1,2,3,6,7,25.00,75.00,11.23,63.77
1,2,3,6,8,22.61,77.39,11.82,65.58
1,2,3,6,9,31.01,68.99,26.07,42.92
1,2,3,6,10,31.84,68.16,25.24,42.92
1,2,3,6,11,30.81,69.19,26.03,43.16
1,2,3,6,12,31.49,68.51,25.20,43.31
1,2,3,6,13,30.86,69.14,10.50,58.64
1,2,3,6,14,31.05,68.95,10.35,58.59
1,2,3,6,15,31.15,68.85,10.01,58.84
1,2,3,6,16,30.13,69.87,10.25,59.62
1,2,3,6,17,32.23,67.77,9.67,58.11
1,2,3,6,18,31.20,68.80,9.86,58.94
1,2,3,6,19,32.13,67.87,10.11,57.76
1,2,3,6,20,31.45,68.55,10.16,58.40
1,2,3,6,21,26.17,73.83,27.54,46.29
1,2,3,6,22,26.17,73.83,27.64,46.19
1,2,3,6,23,25.24,74.76,12.11,62.65
1,2,3,6,24,24.80,75.20,11.23,63.96
1,2,3,6,25,26.66,73.34,27.05,46.29
1,2,3,6,26,26.56,73.44,27.05,46.39
1,2,3,6,27,26.76,73.24,9.96,63.28
1,2,3,6,28,25.83,74.17,10.11,64.06
1,2,3,7,8,25.54,74.46,10.30,64.16
1,2,3,7,9,29.64,70.36,10.69,59.67
1,2,3,7,10,29.98,70.02,10.60,59.42
1,2,3,7,11,31.69,68.31,9.86,58.45
1,2,3,7,12,30.42,69.58,10.35,59.23
1,2,3,7,13,29.25,70.75,10.79,59.96
1,2,3,7,14,30.62,69.38,10.30,59.08
1,2,3,7,15,29.93,70.07,10.55,59.52
1,2,3,7,16,31.05,68.95,10.06,58.89
1,2,3,7,17,29.88,70.12,10.25,59.86
1,2,3,7,18,31.30,68.70,10.50,58.20
1,2,3,7,19,29.88,70.12,10.45,59.67
1,2,3,7,20,29.69,70.31,11.08,59.23
1,2,3,7,21,24.02,75.98,12.21,63.77
1,2,3,7,22,24.80,75.20,11.82,63.38
1,2,3,7,23,26.32,73.68,11.18,62.50
1,2,3,7,24,26.46,73.54,10.64,62.89
1,2,3,7,25,27.83,72.17,9.62,62.55
1,2,3,7,26,27.29,72.71,9.77,62.94
1,2,3,7,27,22.90,77.10,12.16,64.94
1,2,3,7,28,24.85,75.15,10.11,65.04
1,2,3,8,9,30.22,69.78,10.06,59.72
1,2,3,8,10,31.49,68.51,9.81,58.69
1,2,3,8,11,32.23,67.77,9.47,58.30
1,2,3,8,12,30.66,69.34,9.77,59.57
1,2,3,8,13,31.49,68.51,9.38,59.13
1,2,3,8,14,29.64,70.36,11.04,59.33
1,2,3,8,15,30.52,69.48,10.06,59.42
1,2,3,8,16,30.91,69.09,10.50,58.59
1,2,3,8,17,31.79,68.21,9.62,58.59
1,2,3,8,18,31.98,68.02,9.96,58.06
1,2,3,8,19,29.79,70.21,10.35,59.86
1,2,3,8,20,30.42,69.58,10.50,59.08
1,2,3,8,21,25.68,74.32,11.47,62.84
1,2,3,8,22,23.39,76.61,12.11,64.50
1,2,3,8,23,26.22,73.78,10.94,62.84
1,2,3,8,24,28.12,71.88,9.67,62.21
1,2,3,8,25,24.95,75.05,11.13,63.92
1,2,3,8,26,28.03,71.97,9.96,62.01
1,2,3,8,27,24.41,75.59,11.13,64.45
1,2,3,8,28,24.07,75.93,11.87,64.06
1,2,3,9,10,34.67,65.33,25.54,39.79
1,2,3,9,11,35.69,64.31,25.05,39.26
1,2,3,9,12,33.15,66.85,26.22,40.62
1,2,3,9,13,34.28,65.72,10.21,55.52
1,2,3,9,14,33.84,66.16,10.69,55.47
1,2,3,9,15,35.06,64.94,8.35,56.59
1,2,3,9,16,34.81,65.19,10.16,55.03
1,2,3,9,17,36.47,63.53,8.11,55.42
1,2,3,9,18,34.86,65.14,10.30,54.83
1,2,3,9,19,35.16,64.84,10.69,54.15
1,2,3,9,20,35.64,64.36,10.74,53.61
1,2,3,9,21,29.15,70.85,28.47,42.38
1,2,3,9,22,31.40,68.60,25.83,42.77
1,2,3,9,23,28.91,71.09,11.67,59.42
1,2,3,9,24,33.15,66.85,9.86,56.98
1,2,3,9,25,28.91,71.09,29.39,41.70
1,2,3,9,26,33.64,66.36,23.83,42.53
1,2,3,9,27,29.88,70.12,11.33,58.79
1,2,3,9,28,31.01,68.99,10.06,58.94
1,2,3,10,11,35.30,64.70,25.20,39.50
1,2,3,10,12,35.84,64.16,24.71,39.45
1,2,3,10,13,36.33,63.67,8.79,54.88
1,2,3,10,14,33.35,66.65,10.64,56.01
1,2,3,10,15,36.23,63.77,10.40,53.37
1,2,3,10,16,35.64,64.36,10.40,53.96
1,2,3,10,17,33.30,66.70,10.45,56.25
1,2,3,10,18,36.47,63.53,9.13,54.39
1,2,3,10,19,36.23,63.77,9.72,54.05
1,2,3,10,20,34.57,65.43,10.64,54.79
1,2,3,10,21,29.93,70.07,28.61,41.46
1,2,3,10,22,29.30,70.70,27.59,43.12
1,2,3,10,23,31.05,68.95,11.38,57.57
1,2,3,10,24,32.71,67.29,8.89,58.40
1,2,3,10,25,31.10,68.90,27.34,41.55
1,2,3,10,26,34.96,65.04,23.14,41.89
1,2,3,10,27,29.83,70.17,10.84,59.33
1,2,3,10,28,29.44,70.56,10.16,60.40
1,2,3,11,12,34.67,65.33,24.80,40.53
1,2,3,11,13,34.62,65.38,10.79,54.59
1,2,3,11,14,33.40,66.60,11.18,55.42
1,2,3,11,15,34.91,65.09,9.67,55.42
1,2,3,11,16,35.06,64.94,8.64,56.30
1,2,3,11,17,36.04,63.96,10.40,53.56
1,2,3,11,18,34.23,65.77,10.69,55.08
1,2,3,11,19,36.57,63.43,9.38,54.05
1,2,3,11,20,35.01,64.99,10.69,54.30
1,2,3,11,21,31.59,68.41,26.81,41.60
1,2,3,11,22,29.88,70.12,27.54,42.58
1,2,3,11,23,30.57,69.43,11.33,58.11
1,2,3,11,24,31.10,68.90,9.81,59.08
1,2,3,11,25,29.79,70.21,27.93,42.29
1,2,3,11,26,32.76,67.24,24.80,42.43
1,2,3,11,27,30.27,69.73,10.84,58.89
1,2,3,11,28,30.03,69.97,10.16,59.81
1,2,3,12,13,34.52,65.48,10.40,55.08
1,2,3,12,14,35.01,64.99,9.33,55.66
1,2,3,12,15,35.25,64.75,10.25,54.49
1,2,3,12,16,34.38,65.62,11.13,54.49
1,2,3,12,17,35.79,64.21,9.42,54.79
1,2,3,12,18,34.72,65.28,10.25,55.03
1,2,3,12,19,35.55,64.45,10.74,53.71
1,2,3,12,20,35.89,64.11,8.79,55.32
1,2,3,12,21,31.49,68.51,26.12,42.38
1,2,3,12,22,29.83,70.17,27.98,42.19
1,2,3,12,23,31.79,68.21,10.89,57.32
1,2,3,12,24,33.69,66.31,9.13,57.18
1,2,3,12,25,30.71,69.29,26.51,42.77
1,2,3,12,26,33.89,66.11,23.34,42.77
1,2,3,12,27,29.59,70.41,10.25,60.16
1,2,3,12,28,29.98,70.02,11.13,58.89
1,2,3,13,14,35.74,64.26,10.45,53.81
1,2,3,13,15,35.74,64.26,10.69,53.56
1,2,3,13,16,35.45,64.55,9.91,54.64
1,2,3,13,17,36.28,63.72,9.72,54.00
1,2,3,13,18,34.91,65.09,9.33,55.76
1,2,3,13,19,34.91,65.09,10.35,54.74
1,2,3,13,20,35.11,64.89,9.77,55.13
1,2,3,13,21,30.37,69.63,11.57,58.06
1,2,3,13,22,30.52,69.48,10.79,58.69
1,2,3,13,23,29.83,70.17,11.04,59.13
1,2,3,13,24,32.42,67.58,9.62,57.96
1,2,3,13,25,31.84,68.16,10.11,58.06
1,2,3,13,26,31.74,68.26,9.62,58.64
1,2,3,13,27,29.49,70.51,10.69,59.81
1,2,3,13,28,30.13,69.87,10.74,59.13
1,2,3,14,15,34.62,65.38,10.25,55.13
1,2,3,14,16,35.64,64.36,10.06,54.30
1,2,3,14,17,35.21,64.79,9.72,55.08
1,2,3,14,18,34.86,65.14,10.99,54.15
1,2,3,14,19,35.30,64.70,10.25,54.44
1,2,3,14,20,35.01,64.99,8.98,56.01
1,2,3,14,21,30.76,69.24,12.06,57.18
1,2,3,14,22,30.52,69.48,11.57,57.91
1,2,3,14,23,30.37,69.63,11.23,58.40
1,2,3,14,24,32.76,67.24,9.13,58.11
1,2,3,14,25,31.79,68.21,9.91,58.30
1,2,3,14,26,32.37,67.63,9.57,58.06
1,2,3,14,27,30.57,69.43,10.21,59.23
1,2,3,14,28,30.62,69.38,9.81,59.57
1,2,3,15,16,34.67,65.33,10.79,54.54
1,2,3,15,17,35.50,64.50,8.89,55.62
1,2,3,15,18,34.03,65.97,10.16,55.81
1,2,3,15,19,34.38,65.62,11.13,54.49
1,2,3,15,20,35.60,64.40,10.21,54.20
1,2,3,15,21,30.03,69.97,11.18,58.79
1,2,3,15,22,31.74,68.26,11.08,57.18
1,2,3,15,23,29.25,70.75,11.91,58.84
1,2,3,15,24,31.15,68.85,9.77,59.08
1,2,3,15,25,31.20,68.80,10.01,58.79
1,2,3,15,26,32.03,67.97,9.96,58.01
1,2,3,15,27,30.52,69.48,11.13,58.35
1,2,3,15,28,28.81,71.19,10.50,60.69
1,2,3,16,17,36.08,63.92,9.91,54.00
1,2,3,16,18,36.43,63.57,10.16,53.42
1,2,3,16,19,34.91,65.09,9.42,55.66
1,2,3,16,20,34.67,65.33,11.04,54.30
1,2,3,16,21,31.15,68.85,11.43,57.42
1,2,3,16,22,30.57,69.43,11.38,58.06
1,2,3,16,23,30.71,69.29,11.33,57.96
1,2,3,16,24,34.18,65.82,8.40,57.42
1,2,3,16,25,29.59,70.41,10.11,60.30
1,2,3,16,26,32.52,67.48,9.77,57.71
1,2,3,16,27,31.64,68.36,9.77,58.59
1,2,3,16,28,28.42,71.58,10.25,61.33
1,2,3,17,18,35.50,64.50,10.74,53.76
1,2,3,17,19,35.99,64.01,10.30,53.71
1,2,3,17,20,35.25,64.75,10.64,54.10
1,2,3,17,21,30.03,69.97,11.28,58.69
1,2,3,17,22,31.40,68.60,10.99,57.62
1,2,3,17,23,30.08,69.92,10.94,58.98
1,2,3,17,24,32.47,67.53,8.54,58.98
1,2,3,17,25,29.88,70.12,10.89,59.23
1,2,3,17,26,33.30,66.70,9.72,56.98
1,2,3,17,27,30.18,69.82,10.50,59.33
1,2,3,17,28,30.13,69.87,9.77,60.11
1,2,3,18,19,34.13,65.87,10.94,54.93
1,2,3,18,20,35.45,64.55,10.60,53.96
1,2,3,18,21,30.47,69.53,10.89,58.64
1,2,3,18,22,29.88,70.12,10.79,59.33
1,2,3,18,23,32.18,67.82,11.13,56.69
1,2,3,18,24,33.69,66.31,9.33,56.98
1,2,3,18,25,30.86,69.14,9.38,59.77
1,2,3,18,26,32.52,67.48,9.52,57.96
1,2,3,18,27,31.64,68.36,9.91,58.45
1,2,3,18,28,29.69,70.31,10.84,59.47
1,2,3,19,20,32.86,67.14,10.94,56.20
1,2,3,19,21,31.10,68.90,10.89,58.01
1,2,3,19,22,31.05,68.95,10.89,58.06
1,2,3,19,23,30.91,69.09,10.94,58.15
1,2,3,19,24,33.15,66.85,9.42,57.42
1,2,3,19,25,31.35,68.65,9.86,58.79
1,2,3,19,26,33.94,66.06,9.28,56.79
1,2,3,19,27,29.39,70.61,10.99,59.62
1,2,3,19,28,29.88,70.12,10.89,59.23
1,2,3,20,21,30.91,69.09,11.38,57.71
1,2,3,20,22,29.25,70.75,11.43,59.33
1,2,3,20,23,29.88,70.12,12.06,58.06
1,2,3,20,24,33.89,66.11,9.13,56.98
1,2,3,20,25,30.57,69.43,10.40,59.03
1,2,3,20,26,32.57,67.43,9.91,57.52
1,2,3,20,27,28.71,71.29,11.28,60.01
1,2,3,20,28,29.59,70.41,10.40,60.01
1,2,3,21,22,24.41,75.59,29.49,46.09
1,2,3,21,23,21.58,78.42,14.45,63.96
1,2,3,21,24,27.88,72.12,10.69,61.43
1,2,3,21,25,25.59,74.41,28.81,45.61
1,2,3,21,26,25.34,74.66,28.81,45.85
1,2,3,21,27,25.29,74.71,11.43,63.28
1,2,3,21,28,24.17,75.83,11.87,63.96
1,2,3,22,23,24.27,75.73,12.89,62.84
1,2,3,22,24,22.41,77.59,12.70,64.89
1,2,3,22,25,23.97,76.03,30.03,46.00
1,2,3,22,26,25.93,74.07,28.12,45.95
1,2,3,22,27,24.12,75.88,12.01,63.87
1,2,3,22,28,24.32,75.68,11.47,64.21
1,2,3,23,24,26.32,73.68,11.72,61.96
1,2,3,23,25,24.80,75.20,11.57,63.62
1,2,3,23,26,27.15,72.85,11.77,61.08
1,2,3,23,27,24.02,75.98,12.70,63.28
1,2,3,23,28,24.51,75.49,12.06,63.43
1,2,3,24,25,27.59,72.41,9.38,63.04
1,2,3,24,26,28.91,71.09,9.96,61.13
1,2,3,24,27,27.15,72.85,10.60,62.26
1,2,3,24,28,26.12,73.88,10.64,63.23
1,2,3,25,26,26.51,73.49,27.34,46.14
1,2,3,25,27,22.51,77.49,12.60,64.89
1,2,3,25,28,25.44,74.56,10.45,64.11
1,2,3,26,27,27.83,72.17,10.64,61.52
1,2,3,26,28,24.51,75.49,11.04,64.45
1,2,3,27,28,24.37,75.63,10.40,65.23
1,2,4,5,6,26.51,73.49,26.61,46.88
1,2,4,5,7,23.83,76.17,11.52,64.65
1,2,4,5,8,25.88,74.12,10.35,63.77
1,2,4,5,9,32.47,67.53,24.66,42.87
1,2,4,5,10,31.35,68.65,25.78,42.87
1,2,4,5,11,31.35,68.65,25.59,43.07
1,2,4,5,12,31.93,68.07,24.95,43.12
1,2,4,5,13,32.32,67.68,10.45,57.23
1,2,4,5,14,31.05,68.95,10.69,58.25
1,2,4,5,15,32.18,67.82,10.06,57.76
1,2,4,5,16,31.10,68.90,10.50,58.40
1,2,4,5,17,31.01,68.99,10.30,58.69
1,2,4,5,18,31.35,68.65,10.06,58.59
1,2,4,5,19,32.18,67.82,9.52,58.30
1,2,4,5,20,31.69,68.31,10.60,57.71
1,2,4,5,21,27.44,72.56,26.37,46.19
1,2,4,5,22,25.49,74.51,28.32,46.19
1,2,4,5,23,25.83,74.17,11.18,62.99
1,2,4,5,24,26.56,73.44,11.18,62.26
1,2,4,5,25,27.15,72.85,26.81,46.04
1,2,4,5,26,25.73,74.27,28.27,46.00
1,2,4,5,27,26.56,73.44,10.25,63.18
1,2,4,5,28,26.12,73.88,10.94,62.94
1,2,4,6,7,24.85,75.15,10.79,64.36
1,2,4,6,8,18.90,81.10,13.18,67.92
1,2,4,6,9,29.69,70.31,26.86,43.46
1,2,4,6,10,31.10,68.90,26.81,42.09
1,2,4,6,11,31.10,68.90,25.59,43.31
1,2,4,6,12,30.86,69.14,26.32,42.82
1,2,4,6,13,29.88,70.12,10.84,59.28
1,2,4,6,14,29.93,70.07,10.79,59.28
1,2,4,6,15,30.47,69.53,10.35,59.18
1,2,4,6,16,30.86,69.14,10.35,58.79
1,2,4,6,17,30.62,69.38,10.40,58.98
1,2,4,6,18,30.32,69.68,10.16,59.52
1,2,4,6,19,31.30,68.70,10.01,58.69
1,2,4,6,20,30.03,69.97,10.45,59.52
1,2,4,6,21,24.41,75.59,29.15,46.44
1,2,4,6,22,25.93,74.07,28.32,45.75
1,2,4,6,23,27.25,72.75,9.77,62.99
1,2,4,6,24,25.05,74.95,10.89,64.06
