T Gate Index 0,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,5.81,94.19,46.53,47.66
2,9.28,90.72,43.16,47.56
3,8.54,91.46,41.50,49.95
4,10.01,89.99,39.94,50.05
5,7.67,92.33,44.78,47.56
6,6.69,93.31,45.75,47.56
7,8.20,91.80,41.70,50.10
8,6.93,93.07,42.63,50.44
9,0.00,100.00,51.56,48.44
10,0.00,100.00,51.56,48.44
11,0.00,100.00,51.56,48.44
12,0.00,100.00,51.56,48.44
13,20.46,79.54,48.00,31.54
14,15.97,84.03,45.17,38.87
15,15.67,84.33,44.73,39.60
16,11.82,88.18,45.61,42.58
17,11.52,88.48,42.82,45.65
18,9.47,90.53,46.00,44.53
19,12.45,87.55,41.46,46.09
20,10.69,89.31,42.92,46.39
21,17.82,82.18,40.58,41.60
22,18.16,81.84,39.94,41.89
23,14.16,85.84,41.85,43.99
24,15.72,84.28,39.50,44.78
25,9.72,90.28,42.72,47.56
26,8.15,91.85,44.29,47.56
27,3.71,96.29,45.75,50.54
28,10.79,89.21,39.11,50.10
29,4.39,95.61,47.95,47.66
30,8.50,91.50,43.90,47.61
31,7.42,92.58,42.24,50.34
32,6.69,93.31,42.97,50.34
