T Gate Index 0,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,8.30,91.70,44.14,47.56
2,9.08,90.92,43.41,47.51
3,9.28,90.72,40.67,50.05
4,9.13,90.87,40.38,50.49
5,9.13,90.87,43.46,47.41
6,9.28,90.72,43.26,47.46
7,8.35,91.65,41.70,49.95
8,9.13,90.87,40.43,50.44
9,0.00,100.00,51.56,48.44
10,0.00,100.00,51.56,48.44
11,0.00,100.00,51.56,48.44
12,0.00,100.00,51.56,48.44
13,11.72,88.28,50.34,37.94
14,11.33,88.67,50.59,38.09
15,11.91,88.09,50.34,37.74
16,11.13,88.87,50.44,38.43
17,11.13,88.87,47.71,41.16
18,11.62,88.38,47.41,40.97
19,11.77,88.23,47.36,40.87
20,11.67,88.33,47.41,40.92
21,11.67,88.33,47.46,40.87
22,11.38,88.62,47.46,41.16
23,11.52,88.48,47.51,40.97
24,11.72,88.28,47.41,40.87
25,7.91,92.09,44.53,47.56
26,9.03,90.97,43.41,47.56
27,8.84,91.16,41.11,50.05
28,8.94,91.06,40.67,50.39
29,9.13,90.87,43.36,47.51
30,9.42,90.58,43.07,47.51
31,8.25,91.75,41.55,50.20
32,9.13,90.87,40.48,50.39
