T Gate Index 0,T Gate Index 1,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,15.62,84.38,37.50,46.88
1,3,14.36,85.64,34.08,51.56
1,4,15.38,84.62,33.20,51.42
1,5,13.43,86.57,39.70,46.88
1,6,15.19,84.81,37.94,46.88
1,7,12.60,87.40,35.64,51.76
1,8,15.62,84.38,33.25,51.12
1,9,8.50,91.50,42.04,49.46
1,10,8.01,91.99,42.53,49.46
1,11,8.06,91.94,42.53,49.41
1,12,7.32,92.68,43.12,49.56
1,13,7.23,92.77,33.54,59.23
1,14,6.98,93.02,33.84,59.18
1,15,6.98,93.02,33.79,59.23
1,16,7.52,92.48,33.30,59.18
1,17,17.97,82.03,39.16,42.87
1,18,17.97,82.03,39.26,42.77
1,19,17.87,82.13,39.26,42.87
1,20,17.77,82.23,39.11,43.12
1,21,18.16,81.84,33.94,47.90
1,22,17.09,82.91,34.91,48.00
1,23,17.19,82.81,34.72,48.10
1,24,16.80,83.20,34.86,48.34
1,25,17.09,82.91,34.86,48.05
1,26,16.50,83.50,34.86,48.63
1,27,16.89,83.11,35.06,48.05
1,28,17.09,82.91,34.62,48.29
1,29,14.36,85.64,39.26,46.39
1,30,12.74,87.26,40.38,46.88
1,31,13.53,86.47,35.40,51.07
1,32,16.60,83.40,32.13,51.27
1,33,13.87,86.13,39.99,46.14
1,34,16.75,83.25,36.38,46.88
1,35,7.91,92.09,40.04,52.05
1,36,16.99,83.01,31.88,51.12
2,3,16.06,83.94,32.71,51.22
2,4,12.89,87.11,35.40,51.71
2,5,16.21,83.79,36.91,46.88
2,6,13.38,86.62,39.75,46.88
2,7,16.46,83.54,32.28,51.27
2,8,13.43,86.57,34.96,51.61
2,9,9.18,90.82,41.46,49.37
2,10,8.79,91.21,41.65,49.56
2,11,8.94,91.06,41.50,49.56
2,12,8.74,91.26,41.89,49.37
2,13,8.89,91.11,32.57,58.54
2,14,9.62,90.38,31.64,58.74
2,15,8.64,91.36,32.57,58.79
2,16,8.98,91.02,32.47,58.54
2,17,18.26,81.74,36.87,44.87
2,18,20.80,79.20,38.28,40.92
2,19,20.75,79.25,37.99,41.26
2,20,21.09,78.91,37.99,40.92
2,21,21.14,78.86,33.20,45.65
2,22,20.85,79.15,33.50,45.65
2,23,20.70,79.30,33.84,45.46
2,24,20.80,79.20,33.40,45.80
2,25,21.68,78.32,33.15,45.17
2,26,21.58,78.42,33.25,45.17
2,27,21.00,79.00,33.40,45.61
2,28,19.58,80.42,33.01,47.41
2,29,16.80,83.20,36.33,46.88
2,30,15.38,84.62,37.99,46.63
2,31,16.99,83.01,31.74,51.27
2,32,14.55,85.45,34.13,51.32
2,33,16.80,83.20,36.33,46.88
2,34,13.77,86.23,39.55,46.68
2,35,16.94,83.06,31.79,51.27
2,36,7.28,92.72,39.79,52.93
3,4,16.65,83.35,28.08,55.27
3,5,13.28,86.72,35.16,51.56
3,6,13.92,86.08,34.91,51.17
3,7,13.23,86.77,30.13,56.64
3,8,14.16,85.84,29.54,56.30
3,9,7.76,92.24,33.74,58.50
3,10,7.76,92.24,33.50,58.74
3,11,7.91,92.09,33.54,58.54
3,12,7.62,92.38,33.45,58.94
3,13,7.96,92.04,24.02,68.02
3,14,8.20,91.80,23.68,68.12
3,15,9.28,90.72,23.14,67.58
3,16,9.23,90.77,23.44,67.33
3,17,22.51,77.49,31.40,46.09
3,18,22.90,77.10,30.76,46.34
3,19,22.51,77.49,31.30,46.19
3,20,22.61,77.39,31.25,46.14
3,21,22.41,77.59,26.95,50.63
3,22,22.66,77.34,26.86,50.49
3,23,22.46,77.54,26.95,50.59
3,24,22.56,77.44,26.90,50.54
3,25,19.58,80.42,30.91,49.51
3,26,19.48,80.52,30.81,49.71
3,27,19.53,80.47,30.47,50.00
3,28,19.24,80.76,31.20,49.56
3,29,14.45,85.55,34.57,50.98
3,30,10.60,89.40,37.45,51.95
3,31,15.23,84.77,29.05,55.71
3,32,10.84,89.16,32.32,56.84
3,33,7.23,92.77,39.84,52.93
3,34,11.47,88.53,36.72,51.81
3,35,14.21,85.79,30.37,55.42
3,36,10.99,89.01,32.18,56.84
4,5,11.62,88.38,36.72,51.66
4,6,14.21,85.79,34.52,51.27
4,7,12.30,87.70,31.15,56.54
4,8,14.11,85.89,29.98,55.91
4,9,5.86,94.14,34.77,59.38
4,10,5.66,94.34,35.11,59.23
4,11,5.86,94.14,35.01,59.13
4,12,5.96,94.04,34.96,59.08
4,13,7.13,92.87,24.51,68.36
4,14,7.03,92.97,23.93,69.04
