T Gate Index 0,T Gate Index 1,T Gate Index 2,T Gate Index 3,T Gate Index 4,T Gate Index 5,T Gate Index 6,T Gate Index 7,T Gate Index 8,T Gate Index 9,T Gate Index 10,T Gate Index 11,T Gate Index 12,T Gate Index 13,T Gate Index 14,T Gate Index 15,T Gate Index 16,T Gate Index 17,T Gate Index 18,T Gate Index 19,T Gate Index 20,T Gate Index 21,T Gate Index 22,T Gate Index 23,T Gate Index 24,T Gate Index 25,T Gate Index 26,T Gate Index 27,T Gate Index 28,T Gate Index 29,T Gate Index 30,T Gate Index 31,T Gate Index 32,T Gate Index 33,T Gate Index 34,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,53.12,46.88,0.00,46.88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,53.12,46.88,0.00,46.88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,53.12,46.88,0.00,46.88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,53.12,46.88,0.00,46.88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,53.12,46.88,0.00,46.88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,53.12,46.88,0.00,46.88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,53.12,46.88,0.00,46.88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,53.12,46.88,0.00,46.88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,50.93,49.07,8.84,40.23
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,52.15,47.85,7.13,40.72
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,51.56,48.44,4.49,43.95
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,50.24,49.76,12.50,37.26
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,51.46,48.54,8.64,39.89
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,52.83,47.17,6.20,40.97
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,53.37,46.63,8.98,37.65
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,52.78,47.22,9.86,37.35
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,51.66,48.34,8.50,39.84
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,50.10,49.90,11.08,38.82
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,52.78,47.22,7.13,40.09
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,52.39,47.61,6.74,40.87
