T Gate Index 0,T Gate Index 1,T Gate Index 2,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,3,18.65,81.35,30.42,50.93
1,2,4,22.22,77.78,27.39,50.39
1,2,5,18.31,81.69,34.81,46.88
1,2,6,21.58,78.42,31.54,46.88
1,2,7,17.63,82.37,31.20,51.17
1,2,8,21.24,78.76,28.27,50.49
1,2,9,16.11,83.89,37.01,46.88
1,2,10,16.02,83.98,37.11,46.88
1,2,11,16.50,83.50,36.62,46.88
1,2,12,16.36,83.64,36.77,46.88
1,2,13,16.11,83.89,34.67,49.22
1,2,14,16.26,83.74,34.91,48.83
1,2,15,16.02,83.98,34.72,49.27
1,2,16,15.92,84.08,35.01,49.07
1,2,17,24.61,75.39,31.49,43.90
1,2,18,24.22,75.78,31.69,44.09
1,2,19,24.37,75.63,31.59,44.04
1,2,20,24.37,75.63,31.49,44.14
1,2,21,24.22,75.78,27.98,47.80
1,2,22,24.56,75.44,27.78,47.66
1,2,23,24.51,75.49,27.69,47.80
1,2,24,24.07,75.93,28.12,47.80
1,2,25,24.41,75.59,27.98,47.61
1,2,26,25.39,74.61,27.15,47.46
1,2,27,24.80,75.20,27.73,47.46
1,2,28,24.90,75.10,27.64,47.46
1,2,29,19.82,80.18,33.69,46.48
1,2,30,22.12,77.88,31.40,46.48
1,2,31,18.60,81.40,30.66,50.73
1,2,32,21.00,79.00,28.81,50.20
1,2,33,18.95,81.05,34.47,46.58
1,2,34,20.80,79.20,32.81,46.39
1,2,35,12.40,87.60,35.50,52.10
1,2,36,16.65,83.35,32.18,51.17
1,3,4,18.31,81.69,22.41,59.28
1,3,5,19.48,80.52,29.83,50.68
1,3,6,18.41,81.59,30.66,50.93
1,3,7,19.63,80.37,22.12,58.25
1,3,8,18.60,81.40,22.36,59.03
1,3,9,13.38,86.62,37.40,49.22
1,3,10,13.33,86.67,37.40,49.27
1,3,11,13.13,86.87,37.74,49.12
1,3,12,13.18,86.82,37.55,49.27
1,3,13,13.33,86.67,31.69,54.98
1,3,14,13.09,86.91,31.74,55.18
1,3,15,12.99,87.01,32.03,54.98
1,3,16,12.94,87.06,32.08,54.98
1,3,17,22.46,77.54,32.08,45.46
1,3,18,22.56,77.44,32.08,45.36
1,3,19,22.56,77.44,31.88,45.56
1,3,20,22.31,77.69,32.03,45.65
1,3,21,22.71,77.29,23.10,54.20
1,3,22,22.31,77.69,23.39,54.30
1,3,23,22.41,77.59,23.63,53.96
1,3,24,22.66,77.34,23.19,54.15
1,3,25,22.61,77.39,23.49,53.91
1,3,26,22.56,77.44,23.29,54.15
1,3,27,22.31,77.69,23.24,54.44
1,3,28,22.56,77.44,23.14,54.30
1,3,29,22.27,77.73,27.59,50.15
1,3,30,18.31,81.69,30.86,50.83
1,3,31,22.17,77.83,20.07,57.76
1,3,32,18.51,81.49,22.27,59.23
1,3,33,17.38,82.62,31.40,51.22
1,3,34,18.51,81.49,30.32,51.17
1,3,35,17.33,82.67,23.24,59.42
1,3,36,18.21,81.79,22.31,59.47
1,4,5,18.55,81.45,30.76,50.68
1,4,6,21.04,78.96,28.27,50.68
1,4,7,17.72,82.28,23.05,59.23
1,4,8,20.75,79.25,21.24,58.01
1,4,9,16.46,83.54,34.72,48.83
1,4,10,16.26,83.74,34.62,49.12
1,4,11,15.72,84.28,35.40,48.88
1,4,12,16.75,83.25,34.13,49.12
1,4,13,16.26,83.74,29.69,54.05
1,4,14,15.87,84.13,29.44,54.69
1,4,15,15.92,84.08,29.64,54.44
1,4,16,15.92,84.08,29.59,54.49
1,4,17,24.71,75.29,27.44,47.85
1,4,18,24.76,75.24,27.59,47.66
1,4,19,24.41,75.59,27.98,47.61
1,4,20,24.95,75.05,27.49,47.56
1,4,21,24.37,75.63,20.41,55.22
1,4,22,24.51,75.49,20.46,55.03
1,4,23,24.61,75.39,20.46,54.93
1,4,24,25.05,74.95,20.61,54.35
1,4,25,24.71,75.29,20.61,54.69
1,4,26,24.56,75.44,20.21,55.22
1,4,27,24.56,75.44,20.41,55.03
1,4,28,24.61,75.39,20.46,54.93
1,4,29,19.58,80.42,29.83,50.59
1,4,30,21.14,78.86,28.81,50.05
1,4,31,18.99,81.01,22.31,58.69
1,4,32,21.29,78.71,20.80,57.91
1,4,33,19.09,80.91,30.27,50.63
1,4,34,15.72,84.28,32.96,51.32
1,4,35,12.45,87.55,26.03,61.52
1,4,36,21.34,78.66,20.70,57.96
1,5,6,18.55,81.45,34.57,46.88
1,5,7,19.82,80.18,29.30,50.88
1,5,8,18.55,81.45,30.52,50.93
1,5,9,13.62,86.38,39.50,46.88
1,5,10,13.43,86.57,39.70,46.88
1,5,11,13.67,86.33,39.45,46.88
1,5,12,13.72,86.28,39.40,46.88
1,5,13,13.62,86.38,37.26,49.12
1,5,14,13.57,86.43,37.26,49.17
1,5,15,13.23,86.77,37.55,49.22
1,5,16,13.57,86.43,37.40,49.02
1,5,17,23.34,76.66,35.01,41.65
1,5,18,23.49,76.51,35.06,41.46
1,5,19,18.99,81.01,37.50,43.51
1,5,20,19.24,80.76,37.35,43.41
1,5,21,19.38,80.62,32.71,47.90
1,5,22,18.70,81.30,32.91,48.39
1,5,23,19.63,80.37,32.52,47.85
1,5,24,20.17,79.83,32.18,47.66
1,5,25,18.70,81.30,33.06,48.24
1,5,26,19.34,80.66,32.86,47.80
1,5,27,19.29,80.71,32.76,47.95
1,5,28,18.95,81.05,33.06,48.00
1,5,29,18.60,81.40,34.81,46.58
1,5,30,15.82,84.18,37.30,46.88
1,5,31,12.50,87.50,35.45,52.05
1,5,32,15.67,84.33,32.91,51.42
1,5,33,18.80,81.20,34.67,46.53
1,5,34,15.67,84.33,37.45,46.88
1,5,35,12.74,87.26,35.16,52.10
1,5,36,15.38,84.62,33.25,51.37
1,6,7,16.16,83.84,32.76,51.07
1,6,8,19.53,80.47,29.59,50.88
1,6,9,11.28,88.72,41.85,46.88
1,6,10,11.08,88.92,42.04,46.88
1,6,11,10.99,89.01,42.14,46.88
1,6,12,11.33,88.67,41.80,46.88
1,6,13,11.13,88.87,39.45,49.41
1,6,14,11.28,88.72,39.11,49.61
1,6,15,11.04,88.96,39.40,49.56
1,6,16,10.99,89.01,39.75,49.27
1,6,17,16.06,83.94,40.67,43.26
1,6,18,15.82,84.18,40.77,43.41
1,6,19,15.92,84.08,40.67,43.41
1,6,20,16.31,83.69,40.62,43.07
1,6,21,16.89,83.11,35.01,48.10
1,6,22,17.58,82.42,34.86,47.56
1,6,23,16.65,83.35,35.11,48.24
1,6,24,16.02,83.98,35.79,48.19
1,6,25,16.06,83.94,35.94,48.00
1,6,26,16.55,83.45,35.64,47.80
1,6,27,15.87,84.13,35.99,48.14
1,6,28,16.31,83.69,35.55,48.14
1,6,29,15.87,84.13,37.26,46.88
1,6,30,19.04,80.96,34.08,46.88
1,6,31,16.11,83.89,32.86,51.03
1,6,32,12.70,87.30,35.06,52.25
1,6,33,16.16,83.84,36.96,46.88
1,6,34,19.63,80.37,33.50,46.88
1,6,35,9.47,90.53,37.74,52.78
1,6,36,19.09,80.91,29.93,50.98
1,7,8,16.31,83.69,23.97,59.72
1,7,9,13.72,86.28,37.35,48.93
1,7,10,13.72,86.28,36.91,49.37
1,7,11,13.57,86.43,37.16,49.27
1,7,12,13.77,86.23,37.21,49.02
1,7,13,13.33,86.67,32.13,54.54
1,7,14,13.28,86.72,31.98,54.74
1,7,15,13.72,86.28,31.79,54.49
1,7,16,13.77,86.23,31.45,54.79
1,7,17,19.82,80.18,32.71,47.46
1,7,18,19.78,80.22,32.52,47.71
1,7,19,19.78,80.22,32.37,47.85
1,7,20,19.82,80.18,32.47,47.71
1,7,21,19.24,80.76,24.07,56.69
1,7,22,19.73,80.27,23.88,56.40
1,7,23,19.29,80.71,24.12,56.59
1,7,24,19.43,80.57,24.17,56.40
1,7,25,19.63,80.37,23.93,56.45
1,7,26,19.97,80.03,23.78,56.25
1,7,27,19.43,80.57,23.93,56.64
1,7,28,19.63,80.37,23.97,56.40
1,7,29,13.57,86.43,34.42,52.00
1,7,30,16.11,83.89,32.76,51.12
1,7,31,18.41,81.59,22.71,58.89
1,7,32,15.82,84.18,24.41,59.77
1,7,33,18.41,81.59,30.91,50.68
1,7,34,16.26,83.74,32.67,51.07
1,7,35,13.67,86.33,25.15,61.18
1,7,36,16.02,83.98,24.41,59.57
1,8,9,11.72,88.28,38.92,49.37
1,8,10,11.33,88.67,39.50,49.17
1,8,11,11.77,88.23,39.01,49.22
1,8,12,11.08,88.92,39.45,49.46
1,8,13,11.08,88.92,33.25,55.66
1,8,14,11.62,88.38,33.01,55.37
1,8,15,11.33,88.67,33.11,55.57
1,8,16,11.18,88.82,33.01,55.81
1,8,17,16.41,83.59,35.55,48.05
1,8,18,16.36,83.64,35.74,47.90
1,8,19,16.26,83.74,35.69,48.05
1,8,20,16.26,83.74,35.55,48.19
1,8,21,15.92,84.08,26.07,58.01
1,8,22,16.80,83.20,25.49,57.71
1,8,23,16.31,83.69,25.59,58.11
1,8,24,16.46,83.54,25.78,57.76
1,8,25,17.09,82.91,25.68,57.23
1,8,26,16.50,83.50,25.88,57.62
1,8,27,16.21,83.79,26.32,57.47
1,8,28,16.16,83.84,26.12,57.71
1,8,29,16.75,83.25,31.84,51.42
1,8,30,12.30,87.70,35.40,52.29
1,8,31,16.02,83.98,24.27,59.72
1,8,32,18.75,81.25,22.46,58.79
1,8,33,16.11,83.89,32.62,51.27
1,8,34,18.70,81.30,30.37,50.93
1,8,35,9.08,90.92,28.03,62.89
1,8,36,19.53,80.47,22.07,58.40
1,9,10,8.30,91.70,43.70,48.00
1,9,11,8.35,91.65,43.55,48.10
1,9,12,8.30,91.70,43.41,48.29
1,9,13,7.96,92.04,37.16,54.88
1,9,14,8.01,91.99,37.21,54.79
1,9,15,8.40,91.60,36.82,54.79
1,9,16,8.01,91.99,37.11,54.88
1,9,17,25.63,74.37,36.08,38.28
1,9,18,25.59,74.41,35.89,38.53
1,9,19,25.63,74.37,36.43,37.94
1,9,20,25.73,74.27,35.79,38.48
1,9,21,25.93,74.07,33.69,40.38
1,9,22,25.88,74.12,33.89,40.23
1,9,23,26.07,73.93,33.64,40.28
1,9,24,25.59,74.41,34.08,40.33
1,9,25,25.78,74.22,34.18,40.04
1,9,26,25.78,74.22,33.45,40.77
1,9,27,25.98,74.02,33.59,40.43
1,9,28,26.07,73.93,33.79,40.14
1,9,29,18.46,81.54,35.84,45.70
1,9,30,15.92,84.08,37.21,46.88
1,9,31,17.19,82.81,34.96,47.85
1,9,32,16.41,83.59,34.47,49.12
1,9,33,17.09,82.91,37.26,45.65
1,9,34,16.60,83.40,36.52,46.88
1,9,35,12.99,87.01,38.48,48.54
1,9,36,16.21,83.79,34.62,49.17
1,10,11,8.94,91.06,42.97,48.10
1,10,12,9.03,90.97,42.77,48.19
1,10,13,8.94,91.06,36.47,54.59
1,10,14,9.13,90.87,35.60,55.27
1,10,15,9.13,90.87,36.13,54.74
1,10,16,8.98,91.02,36.33,54.69
1,10,17,26.12,73.88,35.64,38.23
1,10,18,25.68,74.32,35.74,38.57
1,10,19,26.46,73.54,35.45,38.09
1,10,20,25.88,74.12,35.69,38.43
1,10,21,25.93,74.07,33.74,40.33
1,10,22,25.83,74.17,33.64,40.53
1,10,23,26.42,73.58,33.11,40.48
1,10,24,25.98,74.02,34.13,39.89
1,10,25,25.93,74.07,33.94,40.14
1,10,26,26.07,73.93,33.79,40.14
1,10,27,26.17,73.83,33.64,40.19
1,10,28,25.98,74.02,33.98,40.04
1,10,29,18.07,81.93,36.28,45.65
1,10,30,16.36,83.64,36.77,46.88
1,10,31,17.29,82.71,34.62,48.10
1,10,32,16.31,83.69,34.57,49.12
1,10,33,17.29,82.71,37.01,45.70
1,10,34,16.21,83.79,36.91,46.88
1,10,35,10.21,89.79,40.97,48.83
1,10,36,16.31,83.69,34.52,49.17
1,11,12,8.98,91.02,42.82,48.19
1,11,13,8.89,91.11,36.33,54.79
1,11,14,9.03,90.97,36.33,54.64
1,11,15,9.08,90.92,35.99,54.93
1,11,16,9.57,90.43,36.08,54.35
1,11,17,26.03,73.97,35.35,38.62
1,11,18,25.93,74.07,35.64,38.43
1,11,19,25.63,74.37,35.89,38.48
1,11,20,25.44,74.56,36.04,38.53
1,11,21,25.20,74.80,34.38,40.43
1,11,22,25.54,74.46,34.18,40.28
1,11,23,25.83,74.17,33.59,40.58
1,11,24,25.73,74.27,33.84,40.43
1,11,25,26.22,73.78,33.54,40.23
1,11,26,26.03,73.97,33.94,40.04
1,11,27,25.83,74.17,34.18,39.99
1,11,28,26.27,73.73,33.35,40.38
1,11,29,17.82,82.18,36.52,45.65
1,11,30,16.02,83.98,37.11,46.88
1,11,31,17.09,82.91,35.16,47.75
1,11,32,16.21,83.79,34.67,49.12
1,11,33,16.85,83.15,37.50,45.65
1,11,34,15.72,84.28,37.40,46.88
1,11,35,12.89,87.11,38.67,48.44
1,11,36,16.41,83.59,34.52,49.07
1,12,13,9.13,90.87,36.23,54.64
1,12,14,9.13,90.87,35.84,55.03
1,12,15,9.18,90.82,36.18,54.64
1,12,16,8.98,91.02,35.84,55.18
1,12,17,25.29,74.71,35.84,38.87
1,12,18,25.29,74.71,35.94,38.77
1,12,19,26.03,73.97,35.84,38.13
1,12,20,24.85,75.15,36.38,38.77
1,12,21,26.22,73.78,33.74,40.04
1,12,22,25.68,74.32,33.89,40.43
1,12,23,25.44,74.56,34.03,40.53
1,12,24,25.78,74.22,33.84,40.38
1,12,25,25.88,74.12,33.94,40.19
1,12,26,26.46,73.54,33.64,39.89
1,12,27,25.73,74.27,34.23,40.04
1,12,28,25.98,74.02,33.69,40.33
1,12,29,17.97,82.03,36.33,45.70
1,12,30,16.16,83.84,36.96,46.88
1,12,31,16.89,83.11,35.21,47.90
1,12,32,16.02,83.98,34.77,49.22
1,12,33,16.75,83.25,37.60,45.65
1,12,34,16.11,83.89,37.01,46.88
1,12,35,10.45,89.55,40.72,48.83
1,12,36,16.16,83.84,34.62,49.22
1,13,14,9.13,90.87,26.56,64.31
1,13,15,9.33,90.67,26.37,64.31
1,13,16,9.33,90.67,26.42,64.26
1,13,17,26.03,73.97,33.74,40.23
1,13,18,26.46,73.54,33.59,39.94
1,13,19,25.88,74.12,33.98,40.14
1,13,20,26.12,73.88,33.79,40.09
1,13,21,26.42,73.58,28.61,44.97
1,13,22,25.83,74.17,28.81,45.36
1,13,23,25.83,74.17,28.22,45.95
1,13,24,25.05,74.95,29.00,45.95
1,13,25,26.12,73.88,28.47,45.41
1,13,26,26.12,73.88,28.81,45.07
1,13,27,26.03,73.97,28.61,45.36
1,13,28,25.39,74.61,28.71,45.90
1,13,29,17.72,82.28,34.18,48.10
1,13,30,16.11,83.89,34.47,49.41
1,13,31,12.26,87.74,32.96,54.79
1,13,32,15.53,84.47,30.18,54.30
1,13,33,11.77,88.23,39.75,48.49
1,13,34,15.53,84.47,35.30,49.17
1,13,35,8.84,91.16,35.79,55.37
1,13,36,15.14,84.86,30.52,54.35
1,14,15,7.03,92.97,27.83,65.14
1,14,16,6.93,93.07,27.98,65.09
1,14,17,21.63,78.37,34.42,43.95
1,14,18,22.36,77.64,33.74,43.90
1,14,19,21.78,78.22,34.23,43.99
1,14,20,22.31,77.69,33.89,43.80
1,14,21,21.14,78.86,29.54,49.32
1,14,22,22.02,77.98,28.81,49.17
1,14,23,22.56,77.44,28.61,48.83
1,14,24,21.83,78.17,28.91,49.27
1,14,25,21.09,78.91,29.20,49.71
1,14,26,22.17,77.83,28.96,48.88
1,14,27,21.58,78.42,29.25,49.17
1,14,28,21.63,78.37,29.35,49.02
1,14,29,13.33,86.67,38.33,48.34
1,14,30,14.79,85.21,36.04,49.17
1,14,31,12.65,87.35,32.86,54.49
1,14,32,15.67,84.33,29.88,54.44
1,14,33,12.99,87.01,38.48,48.54
1,14,34,15.43,84.57,35.50,49.07
1,14,35,5.96,94.04,37.74,56.30
1,14,36,15.62,84.38,29.74,54.64
1,15,16,7.37,92.63,27.49,65.14
1,15,17,21.29,78.71,34.77,43.95
1,15,18,21.14,78.86,34.52,44.34
1,15,19,22.17,77.83,34.18,43.65
1,15,20,21.92,78.08,34.23,43.85
1,15,21,22.31,77.69,28.47,49.22
1,15,22,21.78,78.22,29.00,49.22
1,15,23,21.97,78.03,28.66,49.37
1,15,24,22.07,77.93,28.91,49.02
1,15,25,22.46,77.54,28.27,49.27
1,15,26,21.68,78.32,28.96,49.37
1,15,27,22.02,77.98,28.76,49.22
1,15,28,21.63,78.37,29.05,49.32
1,15,29,12.11,87.89,39.60,48.29
1,15,30,15.67,84.33,35.21,49.12
1,15,31,12.16,87.84,32.86,54.98
1,15,32,15.62,84.38,29.98,54.39
1,15,33,11.62,88.38,40.09,48.29
1,15,34,15.23,84.77,35.55,49.22
1,15,35,8.84,91.16,35.55,55.62
1,15,36,15.53,84.47,29.98,54.49
1,16,17,22.02,77.98,34.28,43.70
1,16,18,22.02,77.98,34.18,43.80
1,16,19,22.27,77.73,33.98,43.75
1,16,20,21.97,78.03,34.33,43.70
1,16,21,22.41,77.59,28.76,48.83
1,16,22,21.29,78.71,29.35,49.37
1,16,23,22.02,77.98,29.10,48.88
1,16,24,21.44,78.56,29.10,49.46
1,16,25,22.07,77.93,28.91,49.02
1,16,26,22.36,77.64,28.76,48.88
1,16,27,21.83,78.17,29.05,49.12
1,16,28,21.68,78.32,29.44,48.88
1,16,29,13.33,86.67,38.13,48.54
1,16,30,15.14,84.86,35.60,49.27
1,16,31,12.50,87.50,33.15,54.35
1,16,32,15.48,84.52,30.13,54.39
1,16,33,13.04,86.96,38.38,48.58
1,16,34,15.48,84.52,35.35,49.17
1,16,35,5.96,94.04,37.74,56.30
1,16,36,15.38,84.62,29.93,54.69
1,17,18,28.71,71.29,32.13,39.16
1,17,19,29.39,70.61,31.64,38.96
1,17,20,29.30,70.70,31.98,38.72
1,17,21,29.54,70.46,27.34,43.12
1,17,22,29.20,70.80,28.37,42.43
1,17,23,28.61,71.39,29.25,42.14
1,17,24,28.86,71.14,27.64,43.51
1,17,25,28.52,71.48,28.17,43.31
1,17,26,29.54,70.46,27.98,42.48
1,17,27,30.27,69.73,27.44,42.29
1,17,28,30.27,69.73,27.64,42.09
1,17,29,25.00,75.00,33.45,41.55
1,17,30,27.64,72.36,30.66,41.70
1,17,31,23.49,76.51,30.47,46.04
1,17,32,27.64,72.36,26.81,45.56
1,17,33,23.49,76.51,35.01,41.50
1,17,34,27.49,72.51,30.71,41.80
1,17,35,16.41,83.59,35.16,48.44
1,17,36,27.83,72.17,27.00,45.17
1,18,19,28.96,71.04,31.79,39.26
1,18,20,28.96,71.04,31.54,39.50
1,18,21,29.44,70.56,29.39,41.16
1,18,22,30.08,69.92,27.69,42.24
1,18,23,29.39,70.61,27.88,42.72
1,18,24,29.69,70.31,27.88,42.43
1,18,25,29.39,70.61,27.78,42.82
1,18,26,28.61,71.39,28.03,43.36
1,18,27,28.96,71.04,27.73,43.31
1,18,28,28.27,71.73,28.08,43.65
1,18,29,25.73,74.27,32.57,41.70
1,18,30,27.54,72.46,30.76,41.70
1,18,31,25.59,74.41,28.61,45.80
1,18,32,27.49,72.51,27.15,45.36
1,18,33,26.07,73.93,32.32,41.60
1,18,34,26.81,73.19,31.35,41.85
1,18,35,19.73,80.27,33.59,46.68
1,18,36,27.64,72.36,27.10,45.26
1,19,20,29.35,70.65,31.93,38.72
1,19,21,28.86,71.14,27.93,43.21
1,19,22,29.44,70.56,28.08,42.48
1,19,23,29.59,70.41,27.69,42.72
1,19,24,28.86,71.14,30.37,40.77
1,19,25,28.86,71.14,28.17,42.97
1,19,26,30.62,69.38,27.00,42.38
1,19,27,30.76,69.24,27.00,42.24
1,19,28,29.64,70.36,28.12,42.24
1,19,29,24.71,75.29,32.67,42.63
1,19,30,20.02,79.98,37.74,42.24
1,19,31,24.66,75.34,29.35,46.00
1,19,32,20.17,79.83,33.25,46.58
1,19,33,24.80,75.20,32.91,42.29
1,19,34,20.12,79.88,37.89,41.99
1,19,35,16.31,83.69,34.42,49.27
1,19,36,20.07,79.93,33.35,46.58
1,20,21,30.42,69.58,27.59,41.99
1,20,22,31.30,68.70,28.52,40.19
1,20,23,31.10,68.90,27.25,41.65
1,20,24,29.98,70.02,27.83,42.19
1,20,25,30.47,69.53,27.54,41.99
1,20,26,29.93,70.07,27.39,42.68
1,20,27,31.15,68.85,26.86,41.99
1,20,28,29.79,70.21,27.64,42.58
1,20,29,24.46,75.54,33.89,41.65
1,20,30,19.82,80.18,38.13,42.04
1,20,31,24.07,75.93,30.22,45.70
1,20,32,20.07,79.93,33.40,46.53
1,20,33,23.63,76.37,34.67,41.70
1,20,34,19.97,80.03,37.84,42.19
1,20,35,18.07,81.93,35.11,46.83
1,20,36,20.36,79.64,33.35,46.29
1,21,22,31.05,68.95,21.04,47.90
1,21,23,29.83,70.17,21.58,48.58
1,21,24,31.49,68.51,21.19,47.31
1,21,25,30.13,69.87,21.19,48.68
1,21,26,29.88,70.12,20.46,49.66
1,21,27,30.42,69.58,20.95,48.63
1,21,28,30.27,69.73,20.90,48.83
1,21,29,24.90,75.10,29.54,45.56
1,21,30,20.02,79.98,33.35,46.63
1,21,31,23.83,76.17,22.36,53.81
1,21,32,20.31,79.69,24.37,55.32
1,21,33,23.73,76.27,30.52,45.75
1,21,34,19.68,80.32,33.54,46.78
1,21,35,18.26,81.74,25.78,55.96
1,21,36,20.56,79.44,24.07,55.37
1,22,23,30.96,69.04,21.00,48.05
1,22,24,30.62,69.38,21.83,47.56
1,22,25,31.01,68.99,20.36,48.63
1,22,26,30.81,69.19,20.36,48.83
1,22,27,31.10,68.90,20.26,48.63
1,22,28,30.22,69.78,21.14,48.63
1,22,29,24.51,75.49,29.98,45.51
1,22,30,20.56,79.44,33.01,46.44
1,22,31,23.97,76.03,22.36,53.66
1,22,32,19.87,80.13,24.61,55.52
1,22,33,23.34,76.66,30.52,46.14
1,22,34,19.87,80.13,33.35,46.78
1,22,35,18.80,81.20,25.73,55.47
1,22,36,20.61,79.39,24.12,55.27
1,23,24,30.22,69.78,21.19,48.58
1,23,25,30.18,69.82,21.04,48.78
1,23,26,30.22,69.78,21.09,48.68
1,23,27,31.15,68.85,20.36,48.49
1,23,28,30.62,69.38,20.31,49.07
1,23,29,24.22,75.78,29.98,45.80
1,23,30,19.68,80.32,33.54,46.78
1,23,31,24.02,75.98,22.36,53.61
1,23,32,19.78,80.22,24.37,55.86
1,23,33,23.68,76.32,30.47,45.85
1,23,34,19.63,80.37,33.59,46.78
1,23,35,18.02,81.98,25.88,56.10
1,23,36,20.46,79.54,24.17,55.37
1,24,25,30.37,69.63,20.80,48.83
1,24,26,30.76,69.24,20.70,48.54
1,24,27,30.08,69.92,20.90,49.02
1,24,28,30.08,69.92,20.95,48.97
1,24,29,24.71,75.29,29.79,45.51
