T Gate Index 0,T Gate Index 1,T Gate Index 2,T Gate Index 3,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,3,4,20.36,79.64,28.96,50.68
1,2,3,5,21.00,79.00,32.13,46.88
1,2,3,6,24.12,75.88,29.00,46.88
1,2,3,7,21.34,78.66,27.83,50.83
1,2,3,8,22.12,77.88,27.20,50.68
1,2,3,9,18.65,81.35,32.42,48.93
1,2,3,10,18.02,81.98,33.11,48.88
1,2,3,11,17.97,82.03,33.15,48.88
1,2,3,12,17.92,82.08,33.11,48.97
1,2,3,13,18.26,81.74,25.63,56.10
1,2,3,14,18.12,81.88,25.49,56.40
1,2,3,15,17.92,82.08,25.78,56.30
1,2,3,16,18.16,81.84,25.93,55.91
1,2,3,17,29.54,70.46,25.05,45.41
1,2,3,18,30.03,69.97,24.61,45.36
1,2,3,19,30.18,69.82,24.56,45.26
1,2,3,20,29.98,70.02,24.51,45.51
1,2,3,21,29.93,70.07,21.39,48.68
1,2,3,22,29.93,70.07,21.97,48.10
1,2,3,23,29.64,70.36,22.02,48.34
1,2,3,24,29.83,70.17,21.83,48.34
1,2,3,25,29.69,70.31,22.02,48.29
1,2,3,26,29.64,70.36,22.07,48.29
1,2,3,27,30.13,69.87,21.83,48.05
1,2,3,28,29.83,70.17,21.92,48.24
1,2,3,29,24.95,75.05,29.00,46.04
1,2,3,30,25.44,74.56,28.17,46.39
1,2,3,31,24.95,75.05,25.29,49.76
1,2,3,32,24.07,75.93,25.93,50.00
1,2,3,33,20.36,79.64,33.64,46.00
1,2,3,34,26.95,73.05,26.37,46.68
1,2,3,35,19.53,80.47,29.54,50.93
1,2,3,36,19.68,80.32,29.00,51.32
1,2,4,5,22.80,77.20,30.32,46.88
1,2,4,6,20.80,79.20,32.32,46.88
1,2,4,7,23.10,76.90,26.76,50.15
1,2,4,8,20.90,79.10,28.37,50.73
1,2,4,9,18.75,81.25,32.23,49.02
1,2,4,10,19.19,80.81,31.64,49.17
1,2,4,11,19.04,80.96,32.42,48.54
1,2,4,12,19.19,80.81,31.84,48.97
1,2,4,13,19.04,80.96,24.66,56.30
1,2,4,14,19.09,80.91,25.39,55.52
1,2,4,15,18.90,81.10,24.76,56.35
1,2,4,16,18.65,81.35,25.20,56.15
1,2,4,17,29.30,70.70,25.24,45.46
1,2,4,18,28.76,71.24,26.12,45.12
1,2,4,19,28.37,71.63,26.27,45.36
1,2,4,20,28.86,71.14,25.73,45.41
1,2,4,21,28.76,71.24,22.85,48.39
1,2,4,22,29.39,70.61,22.56,48.05
1,2,4,23,29.59,70.41,22.27,48.14
1,2,4,24,29.39,70.61,22.61,48.00
1,2,4,25,28.61,71.39,23.05,48.34
1,2,4,26,29.49,70.51,22.51,48.00
1,2,4,27,29.39,70.61,22.46,48.14
1,2,4,28,29.54,70.46,22.41,48.05
1,2,4,29,25.24,74.76,28.47,46.29
1,2,4,30,25.05,74.95,28.81,46.14
1,2,4,31,24.51,75.49,25.73,49.76
1,2,4,32,24.32,75.68,26.03,49.66
1,2,4,33,26.32,73.68,27.25,46.44
1,2,4,34,19.29,80.71,34.52,46.19
1,2,4,35,19.14,80.86,30.03,50.83
1,2,4,36,19.34,80.66,29.64,51.03
1,2,5,6,22.56,77.44,30.57,46.88
1,2,5,7,21.24,78.76,31.88,46.88
1,2,5,8,22.27,77.73,30.86,46.88
1,2,5,9,17.48,82.52,35.64,46.88
1,2,5,10,17.29,82.71,35.84,46.88
1,2,5,11,17.82,82.18,35.30,46.88
1,2,5,12,17.58,82.42,35.55,46.88
1,2,5,13,17.77,82.23,32.91,49.32
1,2,5,14,17.29,82.71,33.59,49.12
1,2,5,15,17.43,82.57,33.20,49.37
1,2,5,16,17.72,82.28,33.15,49.12
1,2,5,17,29.35,70.65,25.83,44.82
1,2,5,18,29.39,70.61,25.68,44.92
1,2,5,19,29.49,70.51,25.63,44.87
1,2,5,20,29.39,70.61,25.93,44.68
1,2,5,21,29.54,70.46,25.54,44.92
1,2,5,22,29.10,70.90,26.03,44.87
1,2,5,23,29.05,70.95,25.88,45.07
1,2,5,24,28.71,71.29,26.37,44.92
1,2,5,25,29.69,70.31,25.59,44.73
1,2,5,26,29.30,70.70,25.88,44.82
1,2,5,27,29.20,70.80,25.98,44.82
1,2,5,28,29.30,70.70,25.83,44.87
1,2,5,29,24.56,75.44,29.15,46.29
1,2,5,30,24.85,75.15,28.66,46.48
1,2,5,31,19.97,80.03,33.64,46.39
1,2,5,32,23.97,76.03,29.49,46.53
1,2,5,33,24.90,75.10,28.81,46.29
1,2,5,34,23.63,76.37,29.74,46.63
1,2,5,35,19.73,80.27,33.89,46.39
1,2,5,36,18.26,81.74,35.21,46.53
1,2,6,7,22.61,77.39,30.52,46.88
1,2,6,8,20.75,79.25,32.37,46.88
1,2,6,9,18.41,81.59,34.72,46.88
1,2,6,10,18.21,81.79,34.91,46.88
1,2,6,11,18.90,81.10,34.23,46.88
1,2,6,12,18.55,81.45,34.57,46.88
