T Gate Index 0,T Gate Index 1,T Gate Index 2,T Gate Index 3,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,3,4,20.65,79.35,12.89,66.46
1,2,3,5,18.95,81.05,34.18,46.88
1,2,3,6,24.85,75.15,28.27,46.88
1,2,3,7,18.95,81.05,13.43,67.63
1,2,3,8,23.39,76.61,11.52,65.09
1,2,3,9,24.12,75.88,32.86,43.02
1,2,3,10,24.12,75.88,32.86,43.02
1,2,3,11,24.12,75.88,32.86,43.02
1,2,3,12,24.07,75.93,32.86,43.07
1,2,3,13,24.07,75.93,13.28,62.65
1,2,3,14,24.12,75.88,13.28,62.60
1,2,3,15,24.12,75.88,13.28,62.60
1,2,3,16,24.12,75.88,13.28,62.60
1,2,3,17,24.12,75.88,13.28,62.60
1,2,3,18,24.07,75.93,13.28,62.65
1,2,3,19,24.12,75.88,13.28,62.60
1,2,3,20,24.12,75.88,13.28,62.60
1,2,3,21,19.58,80.42,33.94,46.48
1,2,3,22,20.17,79.83,33.64,46.19
1,2,3,23,19.58,80.42,14.50,65.92
1,2,3,24,22.90,77.10,12.30,64.79
1,2,3,25,19.53,80.47,33.98,46.48
1,2,3,26,23.10,76.90,30.71,46.19
1,2,3,27,19.53,80.47,13.62,66.85
1,2,3,28,20.36,79.64,13.04,66.60
1,2,4,5,24.61,75.39,28.52,46.88
1,2,4,6,18.75,81.25,34.38,46.88
1,2,4,7,23.29,76.71,11.18,65.53
1,2,4,8,18.75,81.25,13.67,67.58
1,2,4,9,24.61,75.39,33.25,42.14
1,2,4,10,24.61,75.39,33.25,42.14
1,2,4,11,24.61,75.39,33.25,42.14
1,2,4,12,24.61,75.39,33.25,42.14
1,2,4,13,24.61,75.39,13.77,61.62
1,2,4,14,24.61,75.39,13.77,61.62
1,2,4,15,24.61,75.39,13.77,61.62
1,2,4,16,24.61,75.39,13.77,61.62
1,2,4,17,24.61,75.39,13.77,61.62
1,2,4,18,24.56,75.44,13.82,61.62
1,2,4,19,24.32,75.68,13.77,61.91
1,2,4,20,24.46,75.54,13.82,61.72
1,2,4,21,20.26,79.74,32.96,46.78
1,2,4,22,19.38,80.62,34.33,46.29
1,2,4,23,23.19,76.81,12.26,64.55
1,2,4,24,19.38,80.62,14.50,66.11
1,2,4,25,23.19,76.81,30.03,46.78
1,2,4,26,19.34,80.66,34.42,46.24
1,2,4,27,20.07,79.93,13.04,66.89
1,2,4,28,19.29,80.71,13.57,67.14
1,2,5,6,24.12,75.88,29.00,46.88
1,2,5,7,19.29,80.71,33.84,46.88
1,2,5,8,22.90,77.10,30.22,46.88
1,2,5,9,23.97,76.03,32.47,43.55
1,2,5,10,24.17,75.83,32.23,43.60
1,2,5,11,24.37,75.63,32.18,43.46
1,2,5,12,24.07,75.93,32.32,43.60
1,2,5,13,24.27,75.73,32.13,43.60
1,2,5,14,24.17,75.83,32.28,43.55
1,2,5,15,24.51,75.49,32.03,43.46
1,2,5,16,24.51,75.49,32.08,43.41
1,2,5,17,24.17,75.83,32.23,43.60
1,2,5,18,24.32,75.68,32.18,43.51
1,2,5,19,24.07,75.93,32.37,43.55
1,2,5,20,24.37,75.63,32.18,43.46
1,2,5,21,20.85,79.15,32.67,46.48
1,2,5,22,20.80,79.20,32.91,46.29
1,2,5,23,20.65,79.35,32.76,46.58
1,2,5,24,23.10,76.90,30.66,46.24
1,2,5,25,21.00,79.00,32.47,46.53
1,2,5,26,23.14,76.86,30.62,46.24
1,2,5,27,20.70,79.30,32.81,46.48
1,2,5,28,21.29,78.71,32.47,46.24
1,2,6,7,23.19,76.81,29.93,46.88
1,2,6,8,18.65,81.35,34.47,46.88
1,2,6,9,24.71,75.29,32.23,43.07
1,2,6,10,24.85,75.15,32.13,43.02
1,2,6,11,24.95,75.05,32.03,43.02
1,2,6,12,24.90,75.10,32.13,42.97
1,2,6,13,25.10,74.90,31.98,42.92
1,2,6,14,25.10,74.90,32.03,42.87
1,2,6,15,24.95,75.05,32.03,43.02
1,2,6,16,24.37,75.63,32.52,43.12
1,2,6,17,24.56,75.44,32.23,43.21
1,2,6,18,24.66,75.34,32.18,43.16
1,2,6,19,24.90,75.10,32.23,42.87
1,2,6,20,24.80,75.20,32.03,43.16
1,2,6,21,21.48,78.52,31.84,46.68
1,2,6,22,19.87,80.13,33.94,46.19
1,2,6,23,23.34,76.66,29.98,46.68
1,2,6,24,20.41,79.59,33.40,46.19
1,2,6,25,23.10,76.90,30.18,46.73
1,2,6,26,20.17,79.83,33.64,46.19
