T Gate Index 0,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,7.42,92.58,0.00,92.58
2,6.30,93.70,0.00,93.70
3,0.00,100.00,25.00,75.00
4,0.00,100.00,25.00,75.00
5,0.00,100.00,25.00,75.00
6,0.00,100.00,25.00,75.00
7,7.42,92.58,0.00,92.58
8,6.30,93.70,0.00,93.70
9,7.42,92.58,0.00,92.58
10,6.30,93.70,0.00,93.70
11,7.42,92.58,0.00,92.58
12,6.30,93.70,0.00,93.70
13,0.00,100.00,25.00,75.00
14,0.00,100.00,25.00,75.00
15,0.00,100.00,25.00,75.00
16,0.00,100.00,25.00,75.00
17,0.00,100.00,28.12,71.88
18,0.00,100.00,28.12,71.88
19,0.00,100.00,28.12,71.88
20,0.00,100.00,28.12,71.88
21,14.55,85.45,0.00,85.45
22,14.55,85.45,0.00,85.45
23,14.55,85.45,0.00,85.45
24,14.55,85.45,0.00,85.45
25,14.55,85.45,0.00,85.45
26,14.55,85.45,0.00,85.45
27,14.55,85.45,0.00,85.45
28,14.55,85.45,0.00,85.45
29,14.55,85.45,0.00,85.45
30,14.55,85.45,0.00,85.45
31,14.55,85.45,0.00,85.45
32,14.55,85.45,0.00,85.45
33,7.76,92.24,0.00,92.24
34,6.54,93.46,0.00,93.46
35,7.76,92.24,0.00,92.24
36,6.54,93.46,0.00,93.46
37,7.76,92.24,0.00,92.24
38,6.54,93.46,0.00,93.46
39,7.76,92.24,0.00,92.24
40,6.54,93.46,0.00,93.46
