T Gate Index 0,T Gate Index 1,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,11.96,88.04,41.16,46.88
1,3,6.05,93.95,22.07,71.88
1,4,6.05,93.95,22.12,71.83
1,5,6.20,93.80,22.27,71.53
1,6,6.05,93.95,22.27,71.68
1,7,13.38,86.62,0.00,86.62
1,8,12.01,87.99,0.00,87.99
1,9,13.09,86.91,40.04,46.88
1,10,12.06,87.94,41.06,46.88
1,11,12.65,87.35,0.00,87.35
1,12,12.01,87.99,0.00,87.99
1,13,6.05,93.95,21.14,72.80
1,14,6.01,93.99,22.22,71.78
1,15,6.01,93.99,23.10,70.90
1,16,6.05,93.95,21.97,71.97
1,17,6.05,93.95,0.00,93.95
1,18,6.05,93.95,0.00,93.95
1,19,6.15,93.85,0.00,93.85
1,20,6.05,93.95,0.00,93.95
1,21,20.70,79.30,41.16,38.13
1,22,20.51,79.49,41.31,38.18
1,23,20.80,79.20,41.02,38.18
1,24,20.61,79.39,41.21,38.18
1,25,20.75,79.25,0.00,79.25
1,26,20.61,79.39,0.00,79.39
1,27,20.70,79.30,0.00,79.30
1,28,20.56,79.44,0.00,79.44
1,29,20.56,79.44,0.00,79.44
1,30,20.75,79.25,0.00,79.25
1,31,20.56,79.44,0.00,79.44
1,32,20.75,79.25,0.00,79.25
1,33,14.40,85.60,39.60,46.00
1,34,12.74,87.26,40.38,46.88
1,35,13.62,86.38,0.00,86.38
1,36,12.84,87.16,0.00,87.16
1,37,13.43,86.57,40.58,46.00
1,38,12.74,87.26,40.38,46.88
1,39,6.10,93.90,0.00,93.90
1,40,12.84,87.16,0.00,87.16
2,3,6.35,93.65,22.02,71.63
2,4,6.59,93.41,22.07,71.34
2,5,6.69,93.31,21.92,71.39
2,6,6.59,93.41,21.88,71.53
2,7,12.01,87.99,0.00,87.99
2,8,12.89,87.11,0.00,87.11
2,9,12.01,87.99,41.11,46.88
2,10,12.84,87.16,40.28,46.88
2,11,12.16,87.84,0.00,87.84
2,12,12.40,87.60,0.00,87.60
2,13,6.59,93.41,22.17,71.24
2,14,6.59,93.41,21.53,71.88
2,15,6.59,93.41,21.63,71.78
2,16,6.54,93.46,22.36,71.09
2,17,6.64,93.36,0.00,93.36
2,18,6.59,93.41,0.00,93.41
2,19,6.59,93.41,0.00,93.41
2,20,6.59,93.41,0.00,93.41
2,21,20.90,79.10,39.99,39.11
2,22,21.24,78.76,39.79,38.96
2,23,20.90,79.10,39.99,39.11
2,24,20.90,79.10,39.99,39.11
2,25,20.90,79.10,0.00,79.10
2,26,20.90,79.10,0.00,79.10
2,27,21.19,78.81,0.00,78.81
2,28,20.90,79.10,0.00,79.10
2,29,21.29,78.71,0.00,78.71
2,30,21.04,78.96,0.00,78.96
2,31,20.90,79.10,0.00,79.10
2,32,21.09,78.91,0.00,78.91
2,33,12.01,87.99,41.11,46.88
2,34,15.33,84.67,38.92,45.75
2,35,12.06,87.94,0.00,87.94
