T Gate Index 0,T Gate Index 1,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,13.53,86.47,39.60,46.88
1,3,8.59,91.41,20.46,70.95
1,4,8.06,91.94,21.24,70.70
1,5,8.98,91.02,20.80,70.21
1,6,7.91,92.09,20.90,71.19
1,7,13.28,86.72,0.00,86.72
1,8,14.40,85.60,0.00,85.60
1,9,12.94,87.06,40.19,46.88
1,10,13.53,86.47,39.60,46.88
1,11,12.84,87.16,0.00,87.16
1,12,14.40,85.60,0.00,85.60
1,13,8.98,91.02,20.61,70.41
1,14,7.91,92.09,20.95,71.14
1,15,8.59,91.41,21.14,70.26
1,16,8.06,91.94,21.14,70.80
1,17,8.98,91.02,0.00,91.02
1,18,7.91,92.09,0.00,92.09
1,19,8.59,91.41,0.00,91.41
1,20,8.06,91.94,0.00,91.94
1,21,21.58,78.42,37.94,40.48
1,22,19.68,80.32,39.01,41.31
1,23,21.24,78.76,37.79,40.97
1,24,20.61,79.39,38.82,40.58
1,25,21.58,78.42,0.00,78.42
1,26,19.68,80.32,0.00,80.32
1,27,21.24,78.76,0.00,78.76
1,28,20.61,79.39,0.00,79.39
1,29,21.58,78.42,0.00,78.42
1,30,19.68,80.32,0.00,80.32
1,31,21.24,78.76,0.00,78.76
1,32,20.61,79.39,0.00,79.39
1,33,15.53,84.47,38.48,46.00
1,34,13.53,86.47,39.60,46.88
1,35,15.19,84.81,0.00,84.81
1,36,14.40,85.60,0.00,85.60
1,37,14.99,85.01,39.01,46.00
1,38,13.53,86.47,39.60,46.88
1,39,7.76,92.24,0.00,92.24
1,40,14.40,85.60,0.00,85.60
2,3,7.32,92.68,21.34,71.34
2,4,6.59,93.41,21.97,71.44
2,5,6.84,93.16,21.63,71.53
2,6,7.32,92.68,21.39,71.29
2,7,15.43,84.57,0.00,84.57
2,8,12.70,87.30,0.00,87.30
2,9,14.16,85.84,38.96,46.88
2,10,13.57,86.43,39.55,46.88
2,11,15.43,84.57,0.00,84.57
2,12,12.35,87.65,0.00,87.65
2,13,6.84,93.16,22.07,71.09
2,14,7.32,92.68,21.63,71.04
2,15,7.32,92.68,21.73,70.95
2,16,6.59,93.41,21.78,71.63
2,17,6.84,93.16,0.00,93.16
2,18,7.32,92.68,0.00,92.68
2,19,7.32,92.68,0.00,92.68
2,20,6.59,93.41,0.00,93.41
2,21,19.97,80.03,39.21,40.82
2,22,19.78,80.22,39.45,40.77
2,23,20.75,79.25,38.82,40.43
2,24,18.21,81.79,40.58,41.21
2,25,19.97,80.03,0.00,80.03
2,26,19.78,80.22,0.00,80.22
2,27,20.75,79.25,0.00,79.25
2,28,18.21,81.79,0.00,81.79
2,29,19.97,80.03,0.00,80.03
2,30,19.78,80.22,0.00,80.22
2,31,20.75,79.25,0.00,79.25
2,32,18.21,81.79,0.00,81.79
2,33,14.16,85.84,38.96,46.88
2,34,14.50,85.50,38.96,46.53
2,35,15.43,84.57,0.00,84.57
2,36,13.33,86.67,0.00,86.67
2,37,14.16,85.84,38.96,46.88
2,38,13.62,86.38,39.84,46.53
2,39,15.43,84.57,0.00,84.57
2,40,6.54,93.46,0.00,93.46
3,4,0.00,100.00,37.50,62.50
3,5,0.00,100.00,37.50,62.50
3,6,0.00,100.00,37.50,62.50
3,7,7.91,92.09,0.00,92.09
3,8,6.84,93.16,0.00,93.16
3,9,8.06,91.94,20.90,71.04
3,10,7.32,92.68,21.34,71.34
3,11,7.91,92.09,0.00,92.09
3,12,6.84,93.16,0.00,93.16
3,13,0.00,100.00,37.50,62.50
3,14,0.00,100.00,39.06,60.94
3,15,0.00,100.00,37.50,62.50
3,16,0.00,100.00,37.50,62.50
3,17,0.00,100.00,28.12,71.88
3,18,0.00,100.00,25.00,75.00
3,19,0.00,100.00,28.12,71.88
3,20,0.00,100.00,28.12,71.88
3,21,14.31,85.69,21.29,64.40
3,22,15.62,84.38,21.53,62.84
3,23,13.48,86.52,21.92,64.60
3,24,15.53,84.47,21.24,63.23
3,25,14.31,85.69,0.00,85.69
3,26,15.62,84.38,0.00,84.38
3,27,13.48,86.52,0.00,86.52
3,28,15.53,84.47,0.00,84.47
3,29,14.31,85.69,0.00,85.69
3,30,15.62,84.38,0.00,84.38
3,31,13.48,86.52,0.00,86.52
3,32,15.53,84.47,0.00,84.47
3,33,8.06,91.94,20.90,71.04
3,34,7.32,92.68,21.34,71.34
3,35,7.91,92.09,0.00,92.09
