T Gate Index 0,T Gate Index 1,T Gate Index 2,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,3,15.04,84.96,38.09,46.88
1,2,4,12.50,87.50,40.62,46.88
1,2,5,13.28,86.72,39.84,46.88
1,2,6,13.38,86.62,39.75,46.88
1,2,7,18.95,81.05,0.00,81.05
1,2,8,20.41,79.59,0.00,79.59
1,2,9,19.48,80.52,33.64,46.88
1,2,10,19.38,80.62,33.74,46.88
1,2,11,19.29,80.71,0.00,80.71
1,2,12,18.90,81.10,0.00,81.10
1,2,13,13.96,86.04,39.16,46.88
1,2,14,15.92,84.08,37.21,46.88
1,2,15,14.75,85.25,38.38,46.88
1,2,16,14.21,85.79,38.92,46.88
1,2,17,14.84,85.16,17.92,67.24
1,2,18,14.99,85.01,17.92,67.09
1,2,19,14.26,85.74,18.31,67.43
1,2,20,14.65,85.35,17.63,67.72
1,2,21,25.39,74.61,33.40,41.21
1,2,22,25.88,74.12,32.23,41.89
1,2,23,25.39,74.61,32.32,42.29
1,2,24,25.15,74.85,32.67,42.19
1,2,25,25.10,74.90,0.00,74.90
1,2,26,25.78,74.22,0.00,74.22
1,2,27,24.32,75.68,0.00,75.68
1,2,28,24.07,75.93,0.00,75.93
1,2,29,23.88,76.12,0.00,76.12
1,2,30,25.24,74.76,0.00,74.76
1,2,31,25.20,74.80,0.00,74.80
1,2,32,25.34,74.66,0.00,74.66
1,2,33,20.07,79.93,33.30,46.63
1,2,34,21.04,78.96,32.67,46.29
1,2,35,21.19,78.81,0.00,78.81
1,2,36,20.17,79.83,0.00,79.83
1,2,37,20.02,79.98,33.40,46.58
1,2,38,20.70,79.30,32.76,46.53
1,2,39,13.77,86.23,0.00,86.23
1,2,40,13.96,86.04,0.00,86.04
1,3,4,7.47,92.53,31.98,60.55
1,3,5,6.64,93.36,32.86,60.50
1,3,6,7.86,92.14,32.42,59.72
1,3,7,12.99,87.01,18.75,68.26
1,3,8,15.19,84.81,18.41,66.41
1,3,9,12.84,87.16,40.28,46.88
1,3,10,14.36,85.64,38.77,46.88
1,3,11,11.87,88.13,19.43,68.70
1,3,12,12.50,87.50,19.19,68.31
1,3,13,7.13,92.87,32.57,60.30
1,3,14,7.76,92.24,33.45,58.79
1,3,15,7.91,92.09,31.93,60.16
1,3,16,7.86,92.14,31.98,60.16
1,3,17,8.01,91.99,11.18,80.81
1,3,18,7.62,92.38,8.94,83.45
1,3,19,7.86,92.14,10.40,81.74
1,3,20,7.76,92.24,10.55,81.69
1,3,21,18.65,81.35,39.70,41.65
1,3,22,20.36,79.64,38.18,41.46
1,3,23,21.44,78.56,37.70,40.87
1,3,24,20.07,79.93,38.72,41.21
1,3,25,20.21,79.79,18.16,61.62
1,3,26,20.12,79.88,18.31,61.57
1,3,27,20.36,79.64,18.55,61.08
1,3,28,18.51,81.49,18.16,63.33
1,3,29,20.26,79.74,18.90,60.84
1,3,30,21.19,78.81,18.02,60.79
1,3,31,20.65,79.35,18.07,61.28
1,3,32,19.92,80.08,18.36,61.72
1,3,33,14.84,85.16,38.72,46.44
1,3,34,14.55,85.45,38.57,46.88
1,3,35,14.55,85.45,18.85,66.60
1,3,36,14.06,85.94,18.60,67.33
1,3,37,14.36,85.64,39.21,46.44
1,3,38,14.65,85.35,38.48,46.88
1,3,39,7.28,92.72,21.83,70.90
1,3,40,14.79,85.21,17.87,67.33
1,4,5,7.37,92.63,32.23,60.40
1,4,6,8.20,91.80,31.64,60.16
1,4,7,13.57,86.43,18.85,67.58
1,4,8,14.99,85.01,17.82,67.19
1,4,9,12.84,87.16,40.28,46.88
1,4,10,15.28,84.72,37.84,46.88
1,4,11,13.67,86.33,18.07,68.26
1,4,12,14.06,85.94,17.72,68.21
1,4,13,7.47,92.53,31.84,60.69
1,4,14,6.64,93.36,33.25,60.11
1,4,15,7.86,92.14,31.45,60.69
1,4,16,8.11,91.89,33.54,58.35
1,4,17,7.42,92.58,10.79,81.79
1,4,18,6.79,93.21,10.60,82.62
1,4,19,7.37,92.63,11.04,81.59
1,4,20,8.35,91.65,8.69,82.96
1,4,21,19.63,80.37,39.60,40.77
1,4,22,18.85,81.15,39.94,41.21
1,4,23,20.56,79.44,39.16,40.28
1,4,24,20.21,79.79,39.21,40.58
1,4,25,20.56,79.44,17.97,61.47
1,4,26,20.21,79.79,18.07,61.72
1,4,27,20.31,79.69,18.95,60.74
1,4,28,20.75,79.25,18.36,60.89
1,4,29,20.02,79.98,18.16,61.82
1,4,30,18.65,81.35,18.21,63.13
1,4,31,20.36,79.64,17.09,62.55
1,4,32,21.44,78.56,17.87,60.69
1,4,33,15.77,84.23,37.89,46.34
1,4,34,14.84,85.16,38.28,46.88
1,4,35,13.82,86.18,18.51,67.68
1,4,36,14.26,85.74,18.55,67.19
1,4,37,13.62,86.38,40.14,46.24
1,4,38,14.50,85.50,38.62,46.88
1,4,39,7.28,92.72,21.78,70.95
1,4,40,15.87,84.13,17.68,66.46
1,5,6,8.06,91.94,32.08,59.86
1,5,7,12.60,87.40,18.16,69.24
1,5,8,14.55,85.45,18.41,67.04
1,5,9,13.33,86.67,39.79,46.88
1,5,10,14.06,85.94,39.06,46.88
1,5,11,13.18,86.82,19.92,66.89
1,5,12,14.65,85.35,18.41,66.94
1,5,13,7.81,92.19,33.11,59.08
1,5,14,7.91,92.09,31.84,60.25
1,5,15,7.37,92.63,31.98,60.64
1,5,16,8.20,91.80,31.45,60.35
1,5,17,7.47,92.53,9.72,82.81
1,5,18,8.06,91.94,10.89,81.05
1,5,19,6.98,93.02,10.50,82.52
1,5,20,8.20,91.80,11.08,80.71
1,5,21,20.61,79.39,38.18,41.21
1,5,22,19.92,80.08,38.28,41.80
1,5,23,18.46,81.54,39.70,41.85
1,5,24,19.48,80.52,38.82,41.70
1,5,25,19.73,80.27,17.48,62.79
1,5,26,20.46,79.54,17.77,61.77
1,5,27,20.75,79.25,18.41,60.84
1,5,28,18.51,81.49,19.24,62.26
1,5,29,20.46,79.54,18.36,61.18
1,5,30,20.61,79.39,18.46,60.94
1,5,31,19.63,80.37,18.60,61.77
1,5,32,18.85,81.15,18.70,62.45
1,5,33,14.36,85.64,39.31,46.34
1,5,34,13.72,86.28,39.40,46.88
1,5,35,13.82,86.18,18.26,67.92
1,5,36,14.94,85.06,18.02,67.04
1,5,37,15.14,84.86,38.67,46.19
1,5,38,14.70,85.30,38.43,46.88
1,5,39,7.13,92.87,21.63,71.24
1,5,40,13.96,86.04,19.24,66.80
1,6,7,13.57,86.43,18.70,67.72
1,6,8,14.75,85.25,17.82,67.43
1,6,9,12.50,87.50,40.62,46.88
1,6,10,14.84,85.16,38.28,46.88
1,6,11,12.60,87.40,19.43,67.97
1,6,12,14.26,85.74,18.12,67.63
1,6,13,7.42,92.58,32.03,60.55
1,6,14,7.28,92.72,32.08,60.64
1,6,15,8.35,91.65,32.91,58.74
1,6,16,8.64,91.36,31.30,60.06
1,6,17,8.06,91.94,10.69,81.25
1,6,18,7.18,92.82,10.60,82.23
1,6,19,7.91,92.09,9.38,82.71
1,6,20,8.79,91.21,10.64,80.57
1,6,21,18.95,81.05,39.89,41.16
1,6,22,19.09,80.91,39.79,41.11
1,6,23,20.75,79.25,38.48,40.77
1,6,24,20.51,79.49,38.82,40.67
1,6,25,20.36,79.64,18.60,61.04
1,6,26,20.56,79.44,18.80,60.64
1,6,27,20.21,79.79,17.53,62.26
1,6,28,21.73,78.27,18.46,59.81
1,6,29,20.80,79.20,18.75,60.45
1,6,30,19.38,80.62,18.70,61.91
1,6,31,21.04,78.96,18.07,60.89
1,6,32,20.61,79.39,18.21,61.18
1,6,33,14.60,85.40,39.01,46.39
1,6,34,14.11,85.89,39.01,46.88
1,6,35,14.26,85.74,18.60,67.14
1,6,36,14.65,85.35,18.85,66.50
1,6,37,14.36,85.64,39.26,46.39
1,6,38,15.19,84.81,37.94,46.88
1,6,39,7.57,92.43,21.48,70.95
1,6,40,14.36,85.64,17.77,67.87
1,7,8,18.95,81.05,0.00,81.05
1,7,9,16.26,83.74,0.00,83.74
1,7,10,17.38,82.62,0.00,82.62
1,7,11,16.75,83.25,0.00,83.25
1,7,12,18.95,81.05,0.00,81.05
1,7,13,12.74,87.26,18.95,68.31
1,7,14,12.79,87.21,18.80,68.41
1,7,15,12.21,87.79,19.38,68.41
1,7,16,13.23,86.77,18.99,67.77
1,7,17,12.70,87.30,21.78,65.53
1,7,18,13.62,86.38,20.75,65.62
1,7,19,13.57,86.43,21.09,65.33
1,7,20,13.04,86.96,21.44,65.53
1,7,21,24.27,75.73,0.00,75.73
1,7,22,23.73,76.27,0.00,76.27
1,7,23,23.54,76.46,0.00,76.46
1,7,24,25.44,74.56,0.00,74.56
1,7,25,22.71,77.29,0.00,77.29
1,7,26,24.90,75.10,0.00,75.10
1,7,27,24.76,75.24,0.00,75.24
1,7,28,24.85,75.15,0.00,75.15
1,7,29,23.44,76.56,0.00,76.56
1,7,30,23.54,76.46,0.00,76.46
1,7,31,24.27,75.73,0.00,75.73
1,7,32,22.80,77.20,0.00,77.20
1,7,33,19.29,80.71,0.00,80.71
1,7,34,18.90,81.10,0.00,81.10
1,7,35,20.80,79.20,0.00,79.20
1,7,36,20.31,79.69,0.00,79.69
1,7,37,14.01,85.99,0.00,85.99
1,7,38,18.75,81.25,0.00,81.25
1,7,39,14.75,85.25,0.00,85.25
