T Gate Index 0,T Gate Index 1,T Gate Index 2,T Gate Index 3,Failed (%),Succeed (%),Measurements (%),Output Vector (%)
1,2,3,4,14.26,85.74,38.87,46.88
1,2,3,5,14.75,85.25,38.38,46.88
1,2,3,6,13.53,86.47,39.60,46.88
1,2,3,7,19.73,80.27,15.72,64.55
1,2,3,8,19.34,80.66,15.87,64.79
1,2,3,9,18.41,81.59,34.72,46.88
1,2,3,10,19.09,80.91,34.03,46.88
1,2,3,11,18.02,81.98,16.36,65.62
1,2,3,12,18.65,81.35,16.21,65.14
1,2,3,13,13.38,86.62,39.75,46.88
1,2,3,14,14.21,85.79,38.92,46.88
1,2,3,15,14.70,85.30,38.43,46.88
1,2,3,16,13.33,86.67,39.79,46.88
1,2,3,17,15.38,84.62,26.17,58.45
1,2,3,18,14.75,85.25,27.69,57.57
1,2,3,19,14.36,85.64,27.59,58.06
1,2,3,20,15.23,84.77,26.56,58.20
1,2,3,21,24.37,75.63,33.84,41.80
1,2,3,22,23.73,76.27,34.33,41.94
1,2,3,23,25.93,74.07,32.52,41.55
1,2,3,24,24.56,75.44,33.40,42.04
1,2,3,25,25.93,74.07,15.43,58.64
1,2,3,26,23.49,76.51,16.50,60.01
1,2,3,27,25.10,74.90,15.23,59.67
1,2,3,28,24.46,75.54,15.58,59.96
1,2,3,29,24.17,75.83,15.23,60.60
1,2,3,30,24.76,75.24,15.92,59.33
1,2,3,31,24.95,75.05,15.62,59.42
1,2,3,32,24.56,75.44,16.55,58.89
1,2,3,33,20.26,79.74,33.50,46.24
1,2,3,34,20.02,79.98,33.50,46.48
1,2,3,35,19.38,80.62,16.21,64.40
1,2,3,36,20.26,79.74,15.33,64.40
1,2,3,37,18.31,81.69,35.30,46.39
1,2,3,38,20.41,79.59,33.50,46.09
1,2,3,39,14.84,85.16,18.02,67.14
1,2,3,40,12.70,87.30,19.19,68.12
1,2,4,5,13.77,86.23,39.36,46.88
1,2,4,6,12.45,87.55,40.67,46.88
1,2,4,7,19.14,80.86,15.48,65.38
1,2,4,8,19.38,80.62,15.72,64.89
1,2,4,9,20.21,79.79,32.91,46.88
1,2,4,10,19.24,80.76,33.89,46.88
1,2,4,11,18.85,81.15,16.02,65.14
1,2,4,12,17.92,82.08,17.24,64.84
1,2,4,13,13.53,86.47,39.60,46.88
1,2,4,14,14.55,85.45,38.57,46.88
1,2,4,15,13.62,86.38,39.50,46.88
1,2,4,16,14.01,85.99,39.11,46.88
1,2,4,17,14.26,85.74,26.66,59.08
1,2,4,18,14.11,85.89,27.10,58.79
1,2,4,19,14.94,85.06,26.76,58.30
1,2,4,20,13.87,86.13,28.37,57.76
1,2,4,21,24.95,75.05,33.54,41.50
1,2,4,22,23.88,76.12,33.54,42.58
1,2,4,23,24.27,75.73,34.28,41.46
1,2,4,24,24.51,75.49,33.20,42.29
1,2,4,25,25.68,74.32,15.38,58.94
1,2,4,26,25.34,74.66,15.58,59.08
1,2,4,27,25.49,74.51,15.33,59.18
1,2,4,28,24.56,75.44,15.14,60.30
1,2,4,29,27.69,72.31,14.89,57.42
1,2,4,30,24.07,75.93,15.38,60.55
1,2,4,31,25.29,74.71,15.38,59.33
1,2,4,32,25.73,74.27,14.94,59.33
1,2,4,33,20.70,79.30,32.96,46.34
1,2,4,34,20.85,79.15,32.76,46.39
1,2,4,35,19.48,80.52,16.16,64.36
1,2,4,36,19.78,80.22,15.87,64.36
1,2,4,37,20.56,79.44,33.25,46.19
1,2,4,38,19.38,80.62,34.28,46.34
1,2,4,39,13.62,86.38,17.63,68.75
1,2,4,40,13.33,86.67,19.09,67.58
1,2,5,6,13.87,86.13,39.26,46.88
1,2,5,7,18.26,81.74,16.94,64.79
1,2,5,8,19.04,80.96,15.43,65.53
1,2,5,9,19.38,80.62,33.74,46.88
1,2,5,10,18.65,81.35,34.47,46.88
1,2,5,11,18.85,81.15,16.36,64.79
1,2,5,12,18.95,81.05,15.77,65.28
1,2,5,13,14.21,85.79,38.92,46.88
1,2,5,14,15.38,84.62,37.74,46.88
1,2,5,15,14.01,85.99,39.11,46.88
1,2,5,16,16.60,83.40,36.52,46.88
1,2,5,17,13.38,86.62,29.20,57.42
1,2,5,18,14.75,85.25,27.59,57.67
1,2,5,19,13.96,86.04,28.17,57.86
1,2,5,20,14.21,85.79,27.69,58.11
1,2,5,21,24.85,75.15,33.59,41.55
1,2,5,22,23.73,76.27,33.89,42.38
1,2,5,23,25.59,74.41,32.86,41.55
1,2,5,24,25.54,74.46,32.91,41.55
1,2,5,25,22.75,77.25,16.11,61.13
1,2,5,26,25.83,74.17,15.04,59.13
1,2,5,27,24.17,75.83,15.67,60.16
1,2,5,28,25.39,74.61,16.06,58.54
1,2,5,29,25.63,74.37,15.53,58.84
1,2,5,30,24.85,75.15,15.19,59.96
1,2,5,31,25.20,74.80,15.67,59.13
1,2,5,32,25.20,74.80,15.09,59.72
1,2,5,33,21.78,78.22,31.79,46.44
1,2,5,34,20.80,79.20,32.62,46.58
1,2,5,35,19.48,80.52,15.97,64.55
1,2,5,36,20.41,79.59,15.48,64.11
1,2,5,37,21.00,79.00,32.52,46.48
1,2,5,38,19.87,80.13,33.79,46.34
1,2,5,39,13.53,86.47,18.51,67.97
1,2,5,40,15.62,84.38,17.82,66.55
1,2,6,7,18.70,81.30,15.38,65.92
1,2,6,8,18.55,81.45,15.92,65.53
1,2,6,9,19.19,80.81,33.94,46.88
1,2,6,10,19.29,80.71,33.84,46.88
1,2,6,11,19.24,80.76,16.55,64.21
1,2,6,12,18.75,81.25,15.04,66.21
1,2,6,13,15.23,84.77,37.89,46.88
1,2,6,14,13.67,86.33,39.45,46.88
1,2,6,15,15.62,84.38,37.50,46.88
1,2,6,16,14.84,85.16,38.28,46.88
1,2,6,17,14.36,85.64,27.59,58.06
1,2,6,18,15.53,84.47,26.95,57.52
1,2,6,19,15.67,84.33,27.39,56.93
1,2,6,20,15.28,84.72,26.95,57.76
1,2,6,21,25.49,74.51,33.11,41.41
1,2,6,22,25.05,74.95,32.81,42.14
1,2,6,23,26.12,73.88,32.81,41.06
1,2,6,24,25.73,74.27,33.54,40.72
1,2,6,25,24.41,75.59,16.16,59.42
1,2,6,26,26.17,73.83,14.36,59.47
1,2,6,27,25.68,74.32,14.50,59.81
1,2,6,28,26.03,73.97,15.14,58.84
1,2,6,29,25.44,74.56,15.48,59.08
1,2,6,30,24.90,75.10,15.53,59.57
1,2,6,31,24.41,75.59,16.21,59.38
1,2,6,32,25.39,74.61,15.72,58.89
1,2,6,33,19.97,80.03,33.79,46.24
1,2,6,34,18.90,81.10,34.62,46.48
1,2,6,35,20.41,79.59,15.67,63.92
1,2,6,36,20.51,79.49,15.87,63.62
1,2,6,37,20.56,79.44,33.20,46.24
1,2,6,38,20.07,79.93,33.35,46.58
1,2,6,39,13.82,86.18,19.04,67.14
1,2,6,40,13.28,86.72,18.85,67.87
1,2,7,8,19.29,80.71,0.00,80.71
1,2,7,9,21.88,78.12,31.25,46.88
1,2,7,10,23.54,76.46,29.59,46.88
1,2,7,11,23.34,76.66,0.00,76.66
1,2,7,12,23.19,76.81,0.00,76.81
1,2,7,13,19.48,80.52,15.82,64.70
1,2,7,14,18.99,81.01,16.36,64.65
1,2,7,15,19.34,80.66,16.02,64.65
1,2,7,16,20.70,79.30,15.43,63.87
1,2,7,17,18.41,81.59,0.00,81.59
1,2,7,18,18.60,81.40,0.00,81.40
1,2,7,19,19.92,80.08,0.00,80.08
1,2,7,20,19.68,80.32,0.00,80.32
1,2,7,21,28.61,71.39,28.76,42.63
1,2,7,22,29.00,71.00,28.47,42.53
1,2,7,23,27.83,72.17,29.79,42.38
1,2,7,24,28.42,71.58,28.76,42.82
1,2,7,25,29.74,70.26,0.00,70.26
1,2,7,26,29.54,70.46,0.00,70.46
1,2,7,27,28.66,71.34,0.00,71.34
1,2,7,28,28.86,71.14,0.00,71.14
1,2,7,29,28.12,71.88,0.00,71.88
1,2,7,30,28.27,71.73,0.00,71.73
1,2,7,31,27.15,72.85,0.00,72.85
1,2,7,32,28.17,71.83,0.00,71.83
1,2,7,33,24.61,75.39,29.15,46.24
1,2,7,34,25.10,74.90,28.42,46.48
1,2,7,35,25.68,74.32,0.00,74.32
1,2,7,36,25.20,74.80,0.00,74.80
1,2,7,37,21.34,78.66,32.86,45.80
1,2,7,38,26.42,73.58,27.20,46.39
1,2,7,39,21.19,78.81,0.00,78.81
1,2,7,40,20.21,79.79,0.00,79.79
1,2,8,9,23.58,76.42,29.54,46.88
1,2,8,10,22.41,77.59,30.71,46.88
1,2,8,11,21.14,78.86,0.00,78.86
1,2,8,12,21.88,78.12,0.00,78.12
1,2,8,13,18.51,81.49,15.92,65.58
1,2,8,14,19.82,80.18,15.58,64.60
1,2,8,15,20.17,79.83,15.23,64.60
1,2,8,16,18.60,81.40,16.46,64.94
1,2,8,17,18.70,81.30,0.00,81.30
1,2,8,18,18.75,81.25,0.00,81.25
1,2,8,19,19.19,80.81,0.00,80.81
1,2,8,20,19.04,80.96,0.00,80.96
1,2,8,21,27.34,72.66,29.05,43.60
1,2,8,22,28.86,71.14,28.71,42.43
1,2,8,23,28.37,71.63,28.52,43.12
1,2,8,24,28.03,71.97,29.39,42.58
1,2,8,25,29.44,70.56,0.00,70.56
1,2,8,26,29.20,70.80,0.00,70.80
1,2,8,27,29.05,70.95,0.00,70.95
1,2,8,28,28.12,71.88,0.00,71.88
1,2,8,29,28.37,71.63,0.00,71.63
1,2,8,30,28.37,71.63,0.00,71.63
1,2,8,31,29.59,70.41,0.00,70.41
1,2,8,32,27.69,72.31,0.00,72.31
1,2,8,33,25.49,74.51,28.12,46.39
1,2,8,34,24.61,75.39,29.30,46.09
1,2,8,35,23.14,76.86,0.00,76.86
1,2,8,36,23.63,76.37,0.00,76.37
1,2,8,37,25.00,75.00,28.56,46.44
1,2,8,38,20.12,79.88,33.74,46.14
1,2,8,39,18.02,81.98,0.00,81.98
1,2,8,40,19.82,80.18,0.00,80.18
1,2,9,10,22.22,77.78,30.91,46.88
1,2,9,11,21.63,78.37,31.49,46.88
1,2,9,12,23.10,76.90,30.03,46.88
1,2,9,13,19.04,80.96,34.08,46.88
1,2,9,14,18.36,81.64,34.77,46.88
1,2,9,15,19.14,80.86,33.98,46.88
1,2,9,16,18.99,81.01,34.13,46.88
1,2,9,17,17.72,82.28,17.04,65.23
1,2,9,18,19.29,80.71,15.58,65.14
1,2,9,19,19.09,80.91,15.67,65.23
1,2,9,20,19.82,80.18,14.89,65.28
1,2,9,21,29.25,70.75,27.78,42.97
1,2,9,22,29.30,70.70,28.71,41.99
1,2,9,23,28.86,71.14,29.39,41.75
1,2,9,24,27.39,72.61,30.03,42.58
1,2,9,25,28.56,71.44,28.52,42.92
1,2,9,26,28.56,71.44,28.76,42.68
1,2,9,27,28.52,71.48,29.15,42.33
1,2,9,28,28.52,71.48,28.71,42.77
1,2,9,29,29.59,70.41,28.96,41.46
1,2,9,30,27.49,72.51,29.93,42.58
1,2,9,31,29.10,70.90,28.61,42.29
1,2,9,32,28.12,71.88,28.91,42.97
1,2,9,33,24.71,75.29,29.49,45.80
1,2,9,34,24.66,75.34,29.05,46.29
1,2,9,35,18.60,81.40,35.64,45.75
1,2,9,36,24.22,75.78,29.35,46.44
1,2,9,37,25.68,74.32,29.00,45.31
1,2,9,38,25.24,74.76,28.37,46.39
1,2,9,39,20.31,79.69,33.79,45.90
1,2,9,40,17.82,82.18,35.79,46.39
1,2,10,11,22.71,77.29,30.42,46.88
1,2,10,12,21.97,78.03,31.15,46.88
1,2,10,13,18.02,81.98,35.11,46.88
1,2,10,14,19.14,80.86,33.98,46.88
1,2,10,15,19.14,80.86,33.98,46.88
1,2,10,16,18.80,81.20,34.33,46.88
1,2,10,17,19.58,80.42,15.97,64.45
1,2,10,18,19.29,80.71,15.77,64.94
1,2,10,19,19.19,80.81,16.06,64.75
1,2,10,20,19.19,80.81,16.16,64.65
1,2,10,21,28.32,71.68,29.20,42.48
1,2,10,22,28.08,71.92,28.47,43.46
1,2,10,23,28.37,71.63,28.76,42.87
1,2,10,24,28.61,71.39,29.20,42.19
1,2,10,25,28.22,71.78,28.66,43.12
1,2,10,26,29.25,70.75,28.37,42.38
1,2,10,27,28.27,71.73,28.71,43.02
1,2,10,28,30.22,69.78,26.86,42.92
1,2,10,29,28.22,71.78,28.96,42.82
1,2,10,30,28.47,71.53,28.47,43.07
1,2,10,31,28.56,71.44,28.86,42.58
1,2,10,32,28.81,71.19,28.86,42.33
1,2,10,33,24.17,75.83,29.54,46.29
1,2,10,34,23.88,76.12,29.83,46.29
1,2,10,35,25.24,74.76,28.52,46.24
1,2,10,36,18.21,81.79,35.55,46.24
1,2,10,37,24.17,75.83,29.25,46.58
1,2,10,38,24.80,75.20,29.15,46.04
1,2,10,39,19.63,80.37,33.94,46.44
1,2,10,40,20.02,79.98,34.18,45.80
1,2,11,12,21.29,78.71,0.00,78.71
1,2,11,13,18.41,81.59,15.87,65.72
1,2,11,14,19.92,80.08,15.48,64.60
1,2,11,15,18.21,81.79,16.11,65.67
1,2,11,16,18.70,81.30,15.97,65.33
1,2,11,17,19.29,80.71,0.00,80.71
1,2,11,18,18.75,81.25,0.00,81.25
1,2,11,19,17.77,82.23,0.00,82.23
1,2,11,20,18.51,81.49,0.00,81.49
1,2,11,21,28.12,71.88,29.00,42.87
1,2,11,22,27.20,72.80,30.22,42.58
1,2,11,23,28.52,71.48,28.76,42.72
1,2,11,24,28.32,71.68,28.61,43.07
1,2,11,25,28.22,71.78,0.00,71.78
1,2,11,26,26.27,73.73,0.00,73.73
1,2,11,27,28.52,71.48,0.00,71.48
1,2,11,28,25.83,74.17,0.00,74.17
1,2,11,29,28.47,71.53,0.00,71.53
1,2,11,30,27.15,72.85,0.00,72.85
1,2,11,31,27.88,72.12,0.00,72.12
1,2,11,32,27.83,72.17,0.00,72.17
1,2,11,33,20.02,79.98,33.64,46.34
1,2,11,34,24.56,75.44,28.96,46.48
1,2,11,35,24.51,75.49,0.00,75.49
1,2,11,36,23.24,76.76,0.00,76.76
1,2,11,37,22.71,77.29,30.81,46.48
1,2,11,38,22.71,77.29,30.76,46.53
1,2,11,39,20.12,79.88,0.00,79.88
1,2,11,40,17.38,82.62,0.00,82.62
1,2,12,13,19.09,80.91,15.77,65.14
1,2,12,14,18.75,81.25,15.97,65.28
1,2,12,15,18.90,81.10,15.53,65.58
1,2,12,16,18.07,81.93,15.72,66.21
1,2,12,17,19.24,80.76,0.00,80.76
1,2,12,18,18.36,81.64,0.00,81.64
1,2,12,19,17.19,82.81,0.00,82.81
1,2,12,20,17.63,82.37,0.00,82.37
1,2,12,21,27.69,72.31,29.98,42.33
1,2,12,22,27.29,72.71,29.54,43.16
1,2,12,23,27.64,72.36,29.98,42.38
1,2,12,24,27.64,72.36,29.54,42.82
1,2,12,25,27.39,72.61,0.00,72.61
1,2,12,26,27.49,72.51,0.00,72.51
1,2,12,27,26.66,73.34,0.00,73.34
1,2,12,28,26.17,73.83,0.00,73.83
1,2,12,29,27.44,72.56,0.00,72.56
1,2,12,30,28.86,71.14,0.00,71.14
1,2,12,31,27.59,72.41,0.00,72.41
1,2,12,32,27.00,73.00,0.00,73.00
1,2,12,33,24.41,75.59,28.96,46.63
1,2,12,34,19.43,80.57,34.33,46.24
1,2,12,35,24.02,75.98,0.00,75.98
1,2,12,36,23.54,76.46,0.00,76.46
1,2,12,37,24.02,75.98,29.39,46.58
1,2,12,38,22.46,77.54,31.54,46.00
1,2,12,39,18.36,81.64,0.00,81.64
1,2,12,40,20.26,79.74,0.00,79.74
1,2,13,14,15.14,84.86,37.99,46.88
1,2,13,15,13.62,86.38,39.50,46.88
1,2,13,16,14.31,85.69,38.82,46.88
1,2,13,17,14.65,85.35,27.98,57.37
1,2,13,18,14.60,85.40,27.20,58.20
1,2,13,19,14.45,85.55,27.64,57.91
1,2,13,20,14.45,85.55,27.54,58.01
1,2,13,21,24.71,75.29,32.28,43.02
1,2,13,22,24.85,75.15,33.25,41.89
1,2,13,23,25.00,75.00,32.28,42.72
1,2,13,24,25.34,74.66,32.18,42.48
1,2,13,25,24.76,75.24,15.58,59.67
1,2,13,26,25.39,74.61,14.70,59.91
1,2,13,27,23.34,76.66,15.82,60.84
1,2,13,28,25.34,74.66,15.67,58.98
1,2,13,29,24.12,75.88,16.16,59.72
1,2,13,30,23.78,76.22,15.72,60.50
1,2,13,31,24.56,75.44,15.72,59.72
1,2,13,32,24.90,75.10,15.87,59.23
1,2,13,33,22.71,77.29,31.05,46.24
1,2,13,34,21.68,78.32,31.88,46.44
1,2,13,35,21.09,78.91,14.99,63.92
1,2,13,36,19.29,80.71,16.21,64.50
1,2,13,37,21.53,78.47,32.08,46.39
1,2,13,38,21.04,78.96,32.81,46.14
1,2,13,39,15.77,84.23,17.92,66.31
1,2,13,40,14.31,85.69,18.12,67.58
1,2,14,15,14.84,85.16,38.28,46.88
1,2,14,16,13.72,86.28,39.40,46.88
1,2,14,17,14.50,85.50,27.59,57.91
1,2,14,18,14.65,85.35,27.83,57.52
1,2,14,19,15.19,84.81,26.81,58.01
1,2,14,20,14.26,85.74,27.15,58.59
1,2,14,21,24.51,75.49,33.74,41.75
1,2,14,22,25.83,74.17,32.96,41.21
1,2,14,23,25.78,74.22,32.62,41.60
1,2,14,24,23.68,76.32,33.98,42.33
1,2,14,25,24.56,75.44,15.19,60.25
